@relation EQP_17-2_unspecified-unspecified_prediction-horizon-7days

@attribute x1_bM numeric
@attribute x2_bM numeric
@attribute x3_bM numeric
@attribute x4_bM numeric
@attribute x5_bM numeric
@attribute x6_indep_bM numeric
@attribute x7_bM numeric
@attribute T3.5_indep_bA numeric
@attribute T3.6_indep_bA numeric
@attribute T3.7_indep_bA numeric
@attribute T3.8_indep_bA numeric
@attribute T3.9_indep_bA numeric
@attribute T4_indep_bA numeric
@attribute Mmean_indep_bA numeric
@attribute dE12_indep_bA numeric
@attribute bA numeric
@attribute a_bA numeric
@attribute eta_bA numeric
@attribute deltaM_bA numeric
@attribute mu3.5_indep_bA numeric
@attribute mu3.6_indep_bA numeric
@attribute mu3.7_indep_bA numeric
@attribute mu3.8_indep_bA numeric
@attribute mu3.9_indep_bA numeric
@attribute mu4_indep_bA numeric
@attribute c3.5_indep_bA numeric
@attribute c3.6_indep_bA numeric
@attribute c3.7_indep_bA numeric
@attribute c3.8_indep_bA numeric
@attribute c3.9_indep_bA numeric
@attribute c4_indep_bA numeric
@attribute continuousClass numeric

@data
0.0,0.0,0.0,0.0,0.0,3.6,0.0,143.24236,284.8333,284.8333,1650.7812,1650.7812,0.0,3.0,9.3821664E7,0.57037956,2.0561914,0.0011247341,-0.0049529076,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.68
0.0,0.0,0.0,0.0,0.0,2.69,0.0,143.24236,284.8333,284.8333,1650.7812,1650.7812,0.0,2.8975,5.1140252E7,0.56034213,2.012667,0.001435446,0.008146286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,143.24236,284.8333,284.8333,1650.7812,1650.7812,0.0,2.915,5.6785344E7,0.5692662,2.0484865,0.0031602636,0.0015313625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,143.24236,284.8333,284.8333,1650.7812,1650.7812,0.0,2.8650002,2.3351426E7,0.7293097,2.4785478,0.0030762071,0.0015153885,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7
0.054460168,0.0,0.0,0.0,0.0,3.13,0.0,143.24236,284.8333,284.8333,1650.7812,1650.7812,0.0,2.9750001,2.5142532E7,0.7158207,2.4746196,0.004474436,-0.05703807,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.008876324,0.0,0.0,0.0,0.0,0.0,0.0,143.24236,284.8333,284.8333,1650.7812,1650.7812,0.0,2.9775,1.5974812E7,0.7231746,2.4983053,0.004137288,-0.05463648,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.037802577,0.0,0.0,0.0,0.0,0.0,0.0,143.24236,284.8333,284.8333,1650.7812,1650.7812,0.0,3.0225,1.3599652E7,0.84132916,2.8879702,0.0010450282,-0.03262806,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6
-0.0051472187,0.0,0.0,0.0,0.0,3.0,0.0,143.24236,284.8333,284.8333,1650.7812,1650.7812,0.0,2.9225,1.3121426E7,1.3705237,4.3504086,0.004000125,-0.044267178,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.02697885,0.054460168,0.0,0.0,0.0,0.0,0.0,143.24236,284.8333,284.8333,1650.7812,1650.7812,0.0,2.79,1.2288225E7,1.4620093,4.4240584,0.0017597154,-0.02601242,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.07717204,0.008876324,0.0,0.0,0.0,0.0,0.0,143.24236,284.8333,284.8333,1650.7812,1650.7812,0.0,2.9299998,1.8992774E7,0.92707723,3.0613892,0.0029573438,-0.042194366,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.52
-0.042777658,-0.037802577,0.0,0.0,0.0,3.28,0.0,143.24236,284.8333,284.8333,1650.7812,1650.7812,0.0,3.0349998,2.9426816E7,0.70029885,2.47046,0.018941391,-0.24772239,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.062177956,-0.0051472187,0.0,0.0,0.0,0.0,0.0,143.24236,284.8333,284.8333,1650.7812,1650.7812,0.0,2.915,1.8849388E7,0.56010216,1.9777505,0.015094843,-0.25105333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.02
-0.040677547,-0.02697885,0.054460168,0.0,0.0,2.89,0.0,143.24236,284.8333,284.8333,1650.7812,1650.7812,0.0,2.9875,2.6057664E7,0.6340947,2.2394109,0.016178718,-0.2516663,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.89
-0.010314643,-0.07717204,0.008876324,0.0,0.0,3.02,0.0,143.24236,284.8333,284.8333,1650.7812,1650.7812,0.0,2.9275002,4.0941932E7,0.783927,2.6399992,0.006658155,-0.08765936,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.016510785,-0.042777658,-0.037802577,0.0,0.0,0.0,0.0,143.24236,284.8333,284.8333,1650.7812,1650.7812,0.0,2.8300002,2.4254026E7,0.9281717,3.0158014,0.030719534,-0.22918487,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.020436108,-0.062177956,-0.0051472187,0.0,0.0,0.0,0.0,143.24236,284.8333,284.8333,1650.7812,1650.7812,0.0,2.8425,3.691046E7,1.0767132,3.4496331,0.028134227,-0.18385506,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.03294635,-0.040677547,-0.02697885,0.054460168,0.0,0.0,0.0,143.24236,284.8333,284.8333,1650.7812,1650.7812,0.0,2.855,6828184.5,1.1060634,3.502864,0.02049277,-0.14696503,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3
0.023632586,-0.010314643,-0.07717204,0.008876324,0.0,2.64,0.0,143.24236,284.8333,284.8333,1650.7812,1650.7812,0.0,2.76,7666408.5,1.3277448,4.009629,0.009515958,-0.079879045,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.002260983,-0.016510785,-0.042777658,-0.037802577,0.0,0.0,0.0,143.24236,284.8333,284.8333,1650.7812,1650.7812,0.0,2.8625002,5717380.0,0.7788143,2.5744088,9.4576174E-4,-0.005548954,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.024077654,-0.020436108,-0.062177956,-0.0051472187,0.0,0.0,0.0,143.24236,284.8333,284.8333,1650.7812,1650.7812,0.0,2.97,4856793.5,0.9287895,3.1035576,0.005018542,-0.041508198,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.69
-0.02250868,0.03294635,-0.040677547,-0.02697885,0.054460168,2.79,0.0010144761,143.24236,284.8333,284.8333,1650.7812,1650.7812,0.0,2.9325001,7953565.0,0.91160315,3.0183294,1.6831241E-4,-0.011012554,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.0124105215,0.023632586,-0.010314643,-0.07717204,0.008876324,0.0,0.0010502649,143.24236,284.8333,284.8333,1650.7812,1650.7812,0.0,2.9450002,6776812.5,0.967119,3.1932185,1.7103933E-4,-0.0017845631,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.008224487,0.002260983,-0.016510785,-0.042777658,-0.037802577,0.0,9.984991E-4,143.24236,284.8333,284.8333,1650.7812,1650.7812,0.0,2.7975,5310350.5,1.8037608,5.3910737,0.0027886897,0.011203527,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.005976081,0.024077654,-0.020436108,-0.062177956,-0.0051472187,0.0,9.858431E-4,143.24236,284.8333,284.8333,1650.7812,1650.7812,0.0,2.7050002,3802318.0,3.8790228,10.83781,0.0024836266,-0.003953457,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0036823153,-0.02250868,0.03294635,-0.040677547,-0.02697885,0.0,9.889968E-4,143.24236,284.8333,284.8333,1650.7812,1650.7812,0.0,2.6475,2954345.2,3.5271618,9.683214,0.011450034,-0.035327435,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.0134359,-0.0124105215,0.023632586,-0.010314643,-0.07717204,0.0,0.001152409,143.24236,284.8333,284.8333,1650.7812,1650.7812,0.0,2.6925,2819207.0,1.9584124,5.6180787,6.709445E-5,0.0013096333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.053216398,0.008224487,0.002260983,-0.016510785,-0.042777658,0.0,0.0014421048,143.24236,284.8333,284.8333,1650.7812,1650.7812,0.0,2.84,2765203.0,0.7753412,2.5470219,0.0010348122,0.014966488,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.76
-0.06446773,0.005976081,0.024077654,-0.020436108,-0.062177956,3.4,0.0015389014,143.24236,284.8333,284.8333,1650.7812,1650.7812,0.0,3.0324998,3353219.2,0.61690706,2.2158237,0.010282236,-0.1918273,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.04542619,0.0036823153,-0.02250868,0.03294635,-0.040677547,0.0,0.0013535477,143.24236,284.8333,284.8333,1650.7812,1650.7812,0.0,3.0825,3890683.0,0.7739577,2.7307777,0.008807609,-0.12832928,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.0070171356,-0.0134359,-0.0124105215,0.023632586,-0.010314643,0.0,0.0012096453,143.24236,284.8333,284.8333,1650.7812,1650.7812,0.0,3.085,4170101.8,0.7804813,2.7528377,0.008651268,-0.12710261,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.017242014,-0.053216398,0.008224487,0.002260983,-0.016510785,0.0,0.001280179,143.24236,284.8333,284.8333,1650.7812,1650.7812,0.0,2.915,8077076.0,0.75423735,2.543655,0.0022701335,0.02751398,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.018157601,-0.06446773,0.005976081,0.024077654,-0.020436108,0.0,0.0013574946,143.24236,284.8333,284.8333,1650.7812,1650.7812,0.0,2.89,4665562.5,0.8821564,2.8944848,0.0012419443,0.01885295,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.044504106,-0.04542619,0.0036823153,-0.02250868,0.03294635,0.0,9.953161E-4,143.24236,284.8333,284.8333,1650.7812,1650.7812,0.0,2.92,4844155.5,0.92082965,3.077898,0.0035938018,-0.0425272,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.024555445,-0.0070171356,-0.0134359,-0.0124105215,0.023632586,0.0,0.00102092,143.24236,284.8333,284.8333,1650.7812,1650.7812,0.0,2.8700001,4930589.5,0.8397781,2.7552161,0.0014991253,0.019114256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.039209843,0.017242014,-0.053216398,0.008224487,0.002260983,0.0,9.764302E-4,143.24236,284.8333,284.8333,1650.7812,1650.7812,0.0,2.88,5575961.0,0.86057585,2.8235116,0.0027970013,0.019043922,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.036692023,0.018157601,-0.06446773,0.005976081,0.024077654,0.0,0.0010535665,143.24236,284.8333,284.8333,1650.7812,1650.7812,0.0,2.79,5275888.5,1.739104,5.1971536,0.008069265,-0.04840851,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.043799996,0.044504106,-0.04542619,0.0036823153,-0.02250868,0.0,7.354636E-4,143.24236,284.8333,284.8333,1650.7812,1650.7812,0.0,2.8425002,4805966.5,1.2114496,3.7885985,0.0043409094,-0.037326574,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.016283214,0.024555445,-0.0070171356,-0.0134359,-0.0124105215,0.0,9.123094E-4,143.24236,284.8333,284.8333,1650.7812,1650.7812,0.0,2.825,8766449.0,1.1061269,3.4698615,0.004176178,-0.046947002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.007004142,0.039209843,0.017242014,-0.053216398,0.008224487,0.0,9.3031256E-4,143.24236,284.8333,284.8333,1650.7812,1650.7812,0.0,2.985,5173673.5,0.85263944,2.8901815,0.0068778372,-0.089687824,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0381518,0.036692023,0.018157601,-0.06446773,0.005976081,0.0,8.094806E-4,143.24236,284.8333,284.8333,1650.7812,1650.7812,0.0,2.9075,4848559.5,0.72710234,2.4591026,0.0059791007,-0.08205843,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.028910875,0.043799996,0.044504106,-0.04542619,0.0036823153,0.0,6.0232176E-4,143.24236,284.8333,284.8333,1650.7812,1650.7812,0.0,2.855,4367773.5,0.7996502,2.6280541,0.0022387332,0.013495207,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.06329751,0.016283214,0.024555445,-0.0070171356,-0.0134359,0.0,5.8918184E-4,143.24236,284.8333,284.8333,1650.7812,1650.7812,0.0,2.9675002,4674659.5,0.9020758,3.0219631,0.0028878078,-0.050010204,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.09
0.086244464,0.007004142,0.039209843,0.017242014,-0.053216398,2.69,5.1273813E-4,143.24236,284.8333,284.8333,1650.7812,1650.7812,0.0,2.815,6495409.0,1.3273871,4.0816474,0.0011521626,-0.014948845,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.09
