@relation EQP_12-7_unspecified-unspecified_prediction-horizon-7days

@attribute x1_bM numeric
@attribute x2_bM numeric
@attribute x3_bM numeric
@attribute x4_bM numeric
@attribute x5_bM numeric
@attribute x6_indep_bM numeric
@attribute x7_bM numeric
@attribute T3.5_indep_bA numeric
@attribute T3.6_indep_bA numeric
@attribute T3.7_indep_bA numeric
@attribute T3.8_indep_bA numeric
@attribute T3.9_indep_bA numeric
@attribute T4_indep_bA numeric
@attribute Mmean_indep_bA numeric
@attribute dE12_indep_bA numeric
@attribute bA numeric
@attribute a_bA numeric
@attribute eta_bA numeric
@attribute deltaM_bA numeric
@attribute mu3.5_indep_bA numeric
@attribute mu3.6_indep_bA numeric
@attribute mu3.7_indep_bA numeric
@attribute mu3.8_indep_bA numeric
@attribute mu3.9_indep_bA numeric
@attribute mu4_indep_bA numeric
@attribute c3.5_indep_bA numeric
@attribute c3.6_indep_bA numeric
@attribute c3.7_indep_bA numeric
@attribute c3.8_indep_bA numeric
@attribute c3.9_indep_bA numeric
@attribute c4_indep_bA numeric
@attribute continuousClass numeric

@data
0.0,0.0,0.0,0.0,0.0,3.9,0.0,17.366667,16.164583,16.164583,16.164583,0.0,-0.47361112,3.0825,1.55731379E9,4.300892,13.633786,9.640644E-10,9.536743E-6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.2
0.0,0.0,0.0,0.0,0.0,3.9,0.0,17.366667,16.164583,16.164583,16.164583,0.0,-0.50416666,2.9975,3.39335117E9,1.0213124,3.406437,0.020921523,-0.16535258,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.2
0.0,0.0,0.0,0.0,0.0,4.2,0.0,16.6875,16.6875,16.6875,16.6875,0.5229167,0.0,3.29,5.3830886E9,0.39400423,1.6413267,0.0040718517,0.034240723,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.27
0.0,0.0,0.0,0.0,0.0,4.2,0.0,0.5229167,0.5229167,0.5229167,0.5229167,0.5229167,0.0,3.5475,6.4269051E9,0.18853942,1.0891539,3.9689094E-4,-1.576797,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.27
-0.057841778,0.0,0.0,0.0,0.0,4.2,0.0,0.5229167,0.5229167,0.5229167,0.5229167,0.5229167,0.0,3.415,4.9794847E10,0.15453938,0.9480623,0.001892126,-1.934762,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.27
-0.024753213,0.0,0.0,0.0,0.0,4.2,0.0,0.5229167,0.5229167,0.5229167,0.5229167,0.5229167,0.0,3.5424998,6.8716044E10,0.1831542,1.069134,1.6949336E-5,-1.6373439,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.27
-0.0013693571,0.0,0.0,0.0,0.0,4.2,0.0,0.5229167,0.5229167,0.5229167,0.5229167,0.5229167,0.0,3.1324997,3.33443604E10,0.33145824,1.3833458,0.0026749365,0.026484966,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.27
-0.013204157,0.0,0.0,0.0,0.0,4.2,0.0,0.5229167,0.5229167,0.5229167,0.5229167,0.5229167,0.0,2.7775,8.7620014E9,0.85242766,2.7126708,0.0030393358,0.017711401,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.27
-0.024818718,-0.057841778,0.0,0.0,0.0,4.2,0.0,0.5229167,0.5229167,0.5229167,0.5229167,0.5229167,0.0,2.88,8.314263E9,0.93537563,3.0389347,0.002606065,-0.04889226,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.27
-0.021766722,-0.024753213,0.0,0.0,0.0,4.2,0.0,0.5229167,0.5229167,0.5229167,0.5229167,0.5229167,0.0,2.8249998,1.08306801E10,0.72894967,2.479593,2.6201995E-4,-0.421597,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.27
-0.0020467043,-0.0013693571,0.0,0.0,0.0,4.2,0.0,0.5229167,0.5229167,0.5229167,0.5229167,0.5229167,0.0,2.845,3.3535872E9,0.88462335,2.9370642,2.2617736E-7,-0.3401296,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.27
0.02048713,-0.013204157,0.0,0.0,0.0,4.2,0.0,0.5229167,0.5229167,0.5229167,0.5229167,0.5229167,0.0,2.8275,2.47681024E9,0.80790013,2.704648,7.99966E-4,-0.3677504,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.27
0.058249712,-0.024818718,-0.057841778,0.0,0.0,4.2,0.0,0.5229167,0.5229167,0.5229167,0.5229167,0.5229167,0.0,2.73,2.13499571E9,1.4707658,4.360244,0.0028389702,0.0153923035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.27
0.06497216,-0.021766722,-0.024753213,0.0,0.0,4.2,0.0,0.5229167,0.5229167,0.5229167,0.5229167,0.5229167,0.0,2.63,2.32849971E9,4.357564,11.805446,0.0011092214,8.1539154E-4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.27
0.05044061,-0.0020467043,-0.0013693571,0.0,0.0,4.2,0.0,0.5229167,0.5229167,0.5229167,0.5229167,0.5229167,0.0,2.745,1.04945542E9,1.0298412,3.171967,0.0050585344,0.019945383,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.27
0.01493746,0.02048713,-0.013204157,0.0,0.0,4.2,0.0,0.5229167,0.5229167,0.5229167,0.5229167,0.5229167,0.0,2.755,4.31754656E8,1.0491482,3.235456,0.0032619906,0.016111374,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
-0.030974388,0.058249712,-0.024818718,-0.057841778,0.0,4.2,0.0,0.5229167,0.5229167,0.5229167,0.5229167,0.5229167,0.0,2.9250002,4.8447728E8,0.7969654,2.6761768,0.004800242,-0.087958574,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.64
-0.025407314,0.06497216,-0.021766722,-0.024753213,0.0,4.2,0.0,0.5229167,0.5229167,0.5229167,0.5229167,0.5229167,0.0,3.03,3.62364032E8,1.1411442,3.8027196,0.0066104922,-0.062374353,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.64
0.010416448,0.05044061,-0.0020467043,-0.0013693571,0.0,4.2,0.0,0.5229167,0.5229167,0.5229167,0.5229167,0.5229167,0.0,2.9075,3.69312416E8,0.89395505,2.9442272,6.9739047E-4,-0.023484707,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.035362303,0.01493746,0.02048713,-0.013204157,0.0,0.0,0.0,0.5229167,0.5229167,0.5229167,0.5229167,0.5229167,0.0,2.88,7.4674784E7,0.8112493,2.6814508,0.0030099526,-0.035335064,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.75
0.06666231,-0.030974388,0.058249712,-0.024818718,-0.057841778,2.8,0.0015047446,0.5229167,0.5229167,0.5229167,0.5229167,0.5229167,0.0,2.7625,3.3161644E7,1.446507,4.341028,0.0011564534,-0.0010421276,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.6
0.060942292,-0.025407314,0.06497216,-0.021766722,-0.024753213,2.75,0.0014216383,0.5229167,0.5229167,0.5229167,0.5229167,0.5229167,0.0,2.7,4.4848112E7,2.8002286,7.9056697,0.0049198833,-0.023222923,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.23
0.02815038,0.010416448,0.05044061,-0.0020467043,-0.0013693571,3.6,0.0014257103,19.184029,0.5229167,0.5229167,0.5229167,0.5229167,0.0,2.9475002,4.3892904E7,0.557191,1.9873734,0.008031975,0.03322792,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.23
0.0311414,0.035362303,0.01493746,0.02048713,-0.013204157,3.6,0.001385297,19.184029,0.5229167,0.5229167,0.5229167,0.5229167,0.0,2.9274998,7.5694056E7,0.5421806,1.9322865,0.005935155,0.03608322,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.23
0.01913333,0.06666231,-0.030974388,0.058249712,-0.024818718,3.6,0.0013184474,19.184029,0.5229167,0.5229167,0.5229167,0.5229167,0.0,2.8875,2.04854352E8,0.5131175,1.8266795,0.0071632066,0.04003644,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.23
0.02907139,0.060942292,-0.025407314,0.06497216,-0.021766722,3.6,0.0011629871,19.184029,0.5229167,0.5229167,0.5229167,0.5229167,0.0,2.8575,1.92714576E8,0.47793362,1.7107482,0.0119070625,0.020531654,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.23
0.0033271909,0.02815038,0.010416448,0.05044061,-0.0020467043,3.6,0.0013933168,19.184029,0.5229167,0.5229167,0.5229167,0.5229167,0.0,2.7024999,1.5723008E8,1.3072829,3.877985,0.007504431,0.013553381,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.83
0.027973473,0.0311414,0.035362303,0.01493746,0.02048713,3.6,0.0011418858,19.184029,0.5229167,0.5229167,0.5229167,0.5229167,0.0,2.87,1.57271552E8,0.8767432,2.861306,0.00354194,-0.033562183,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-4.2378902E-4,0.01913333,0.06666231,-0.030974388,0.058249712,0.0,0.0013223124,19.184029,0.5229167,0.5229167,0.5229167,0.5229167,0.0,2.9175,3.4968484E7,1.0216306,3.3256602,0.0014091451,-0.025247097,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.64
-0.020702243,0.02907139,0.060942292,-0.025407314,0.06497216,3.35,0.0013417805,19.184029,0.5229167,0.5229167,0.5229167,0.5229167,0.0,3.0974998,3.8423424E7,1.0632782,3.6385572,0.0053495415,-0.07201815,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.0037420988,0.0033271909,0.02815038,0.010416448,0.05044061,0.0,0.0014298025,19.184029,0.5229167,0.5229167,0.5229167,0.5229167,0.0,3.0125,2.1066694E7,0.7377341,2.5674767,0.007703113,-0.13021994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.050825298,0.027973473,0.0311414,0.035362303,0.01493746,0.0,0.001622178,19.184029,0.5229167,0.5229167,0.5229167,0.5229167,0.0,3.0349998,1.0427596E7,0.66004354,2.348285,0.013197723,-0.20777297,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.56
