@relation EQP_5-16_unspecified-unspecified_prediction-horizon-7days

@attribute x1_bM numeric
@attribute x2_bM numeric
@attribute x3_bM numeric
@attribute x4_bM numeric
@attribute x5_bM numeric
@attribute x6_indep_bM numeric
@attribute x7_bM numeric
@attribute T3.5_indep_bA numeric
@attribute T3.6_indep_bA numeric
@attribute T3.7_indep_bA numeric
@attribute T3.8_indep_bA numeric
@attribute T3.9_indep_bA numeric
@attribute T4_indep_bA numeric
@attribute Mmean_indep_bA numeric
@attribute dE12_indep_bA numeric
@attribute bA numeric
@attribute a_bA numeric
@attribute eta_bA numeric
@attribute deltaM_bA numeric
@attribute mu3.5_indep_bA numeric
@attribute mu3.6_indep_bA numeric
@attribute mu3.7_indep_bA numeric
@attribute mu3.8_indep_bA numeric
@attribute mu3.9_indep_bA numeric
@attribute mu4_indep_bA numeric
@attribute c3.5_indep_bA numeric
@attribute c3.6_indep_bA numeric
@attribute c3.7_indep_bA numeric
@attribute c3.8_indep_bA numeric
@attribute c3.9_indep_bA numeric
@attribute c4_indep_bA numeric
@attribute continuousClass numeric

@data
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-13.588889,-13.588889,2.9,6.164112E7,0.5929381,2.095808,0.0057208966,-0.13461494,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-23.01736,-23.01736,2.875,2.78023E7,0.62327623,2.1682067,0.009580872,-0.17872524,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7
0.0,0.0,0.0,0.0,0.0,2.7,0.0,0.0,0.0,0.0,0.0,-23.138193,-23.138193,2.75,2.267026E7,0.73507226,2.397736,0.0056197927,0.03809476,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5
0.0,0.0,0.0,0.0,0.0,2.7,0.0,0.0,0.0,0.0,0.0,-23.62014,-23.62014,2.8,2.2207692E7,0.76677793,2.5360537,1.9381993E-4,-0.00741601,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.010647893,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-36.94097,-36.94097,2.8,1.9006536E7,0.76677793,2.536054,1.9381991E-4,-0.0074164867,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.009132504,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-101.36666,-101.36666,2.8,5980628.5,0.76677793,2.536054,1.9381991E-4,-0.0074164867,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.0042084455,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-144.79514,-144.79514,2.875,4094691.2,0.73915666,2.4701283,0.0012365978,-0.04181981,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0067099333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-182.56459,-182.56459,2.85,3174473.5,0.6947479,2.3250844,0.0021991257,-0.04665923,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.026385546,-0.010647893,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-206.93056,-206.93056,2.875,2800680.8,0.8446261,2.8045876,4.346215E-4,-0.020507812,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.006070614,-0.009132504,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-168.9743,-168.9743,2.675,2729760.2,1.1995244,3.5978034,5.7884513E-6,6.418228E-4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.8
-0.010093689,-0.0042084455,0.0,0.0,0.0,2.9,0.0,0.0,0.0,0.0,0.0,-126.45695,-126.45695,2.65,6977449.0,1.5335991,4.4531136,1.938195E-4,-0.0037009716,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.08209169,0.0067099333,0.0,0.0,0.0,0.0,0.0,495.1479,495.1479,495.1479,495.1479,-99.811104,-99.811104,2.95,1.3764938E7,0.43140125,1.6176865,0.003027384,0.050158024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.096200585,0.026385546,-0.010647893,0.0,0.0,0.0,0.0,506.8507,506.8507,506.8507,506.8507,-67.3375,-67.3375,3.25,2.1449456E7,0.22279406,1.1443911,2.2799808E-4,-1.3365424,0.0,0.0,0.0,11.702778,11.702778,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.09365642,0.006070614,-0.009132504,0.0,0.0,0.0,0.0,506.8507,506.8507,506.8507,506.8507,-62.933334,-62.933334,3.375,2.4248522E7,0.28731647,1.3900034,0.0015533082,-1.037883,0.0,0.0,0.0,11.702778,11.702778,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
