@relation EQP_8-9_unspecified-unspecified_prediction-horizon-7days

@attribute x1_bM numeric
@attribute x2_bM numeric
@attribute x3_bM numeric
@attribute x4_bM numeric
@attribute x5_bM numeric
@attribute x6_indep_bM numeric
@attribute x7_bM numeric
@attribute T3.5_indep_bA numeric
@attribute T3.6_indep_bA numeric
@attribute T3.7_indep_bA numeric
@attribute T3.8_indep_bA numeric
@attribute T3.9_indep_bA numeric
@attribute T4_indep_bA numeric
@attribute Mmean_indep_bA numeric
@attribute dE12_indep_bA numeric
@attribute bA numeric
@attribute a_bA numeric
@attribute eta_bA numeric
@attribute deltaM_bA numeric
@attribute mu3.5_indep_bA numeric
@attribute mu3.6_indep_bA numeric
@attribute mu3.7_indep_bA numeric
@attribute mu3.8_indep_bA numeric
@attribute mu3.9_indep_bA numeric
@attribute mu4_indep_bA numeric
@attribute c3.5_indep_bA numeric
@attribute c3.6_indep_bA numeric
@attribute c3.7_indep_bA numeric
@attribute c3.8_indep_bA numeric
@attribute c3.9_indep_bA numeric
@attribute c4_indep_bA numeric
@attribute continuousClass numeric

@data
0.0,0.0,0.0,0.0,0.0,0.0,0.0,310.11804,310.11804,727.0882,230.89723,230.89723,230.89723,2.83,3257781.5,0.7706168,2.5258987,0.010402297,-0.14776206,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,310.11804,310.11804,727.0882,230.89723,230.89723,230.89723,2.955,5802255.5,0.9550384,3.1671915,0.022770286,-0.18629742,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.97
0.0,0.0,0.0,0.0,0.0,3.47,0.0,310.11804,310.11804,727.0882,230.89723,230.89723,230.89723,3.1650002,8120908.5,1.2073892,4.16644,0.0037833967,0.019215584,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,310.11804,310.11804,727.0882,230.89723,230.89723,230.89723,3.125,9257124.0,1.0591,3.6547403,0.0072575416,0.019201994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.06981033,0.0,0.0,0.0,0.0,0.0,0.0,400.67917,400.67917,829.57776,829.57776,230.89723,230.89723,3.3175,1.4038012E7,0.6203188,2.4029603,0.0030740143,-0.043750763,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.058441818,0.0,0.0,0.0,0.0,0.0,0.0,400.67917,400.67917,829.57776,829.57776,230.89723,230.89723,3.3725002,1.0110616E7,0.7071513,2.7299204,8.115806E-4,-0.030447483,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.71
-0.02958244,0.0,0.0,0.0,0.0,3.33,0.0,400.67917,400.67917,829.57776,829.57776,230.89723,230.89723,3.3375,8548983.0,0.71416825,2.7285895,0.0016104486,0.009346247,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.71
-0.006858468,0.0,0.0,0.0,0.0,3.33,0.0,400.67917,400.67917,829.57776,829.57776,230.89723,230.89723,3.2225,1.0201374E7,0.447838,1.7882109,0.008781967,-0.16298604,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.047667265,-0.06981033,0.0,0.0,0.0,0.0,0.0,400.67917,400.67917,829.57776,829.57776,230.89723,230.89723,2.9425,6225997.0,0.61456764,2.153418,0.0092103025,-0.17395616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.06591874,-0.058441818,0.0,0.0,0.0,0.0,0.0,400.67917,400.67917,829.57776,829.57776,230.89723,230.89723,2.78,1.3041838E7,0.66876113,2.2042086,0.004894297,0.03404188,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.4
-0.006193638,-0.02958244,0.0,0.0,0.0,2.97,0.0,400.67917,400.67917,829.57776,829.57776,230.89723,230.89723,2.69,4.563782E7,1.2707498,3.76337,5.5944524E-4,0.008465052,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.74
