@relation EQP_4-17_unspecified-unspecified_prediction-horizon-7days

@attribute x1_bM numeric
@attribute x2_bM numeric
@attribute x3_bM numeric
@attribute x4_bM numeric
@attribute x5_bM numeric
@attribute x6_indep_bM numeric
@attribute x7_bM numeric
@attribute T3.5_indep_bA numeric
@attribute T3.6_indep_bA numeric
@attribute T3.7_indep_bA numeric
@attribute T3.8_indep_bA numeric
@attribute T3.9_indep_bA numeric
@attribute T4_indep_bA numeric
@attribute Mmean_indep_bA numeric
@attribute dE12_indep_bA numeric
@attribute bA numeric
@attribute a_bA numeric
@attribute eta_bA numeric
@attribute deltaM_bA numeric
@attribute mu3.5_indep_bA numeric
@attribute mu3.6_indep_bA numeric
@attribute mu3.7_indep_bA numeric
@attribute mu3.8_indep_bA numeric
@attribute mu3.9_indep_bA numeric
@attribute mu4_indep_bA numeric
@attribute c3.5_indep_bA numeric
@attribute c3.6_indep_bA numeric
@attribute c3.7_indep_bA numeric
@attribute c3.8_indep_bA numeric
@attribute c3.9_indep_bA numeric
@attribute c4_indep_bA numeric
@attribute continuousClass numeric

@data
0.0,0.0,0.0,0.0,0.0,0.0,0.0,-230.02222,-230.02222,-230.02222,-230.02222,-230.02222,-230.02222,2.65,1626219.0,1.9823799,5.5983596,0.002674781,-0.02406001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7
0.0,0.0,0.0,0.0,0.0,2.5,0.0,-198.59375,-198.59375,-198.59375,-198.59375,-198.59375,-198.59375,2.575,1803712.6,3.0104997,8.128324,3.6834535E-10,8.583069E-6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,-180.48611,-180.48611,-180.48611,-180.48611,-180.48611,-180.48611,2.625,2313142.5,1.528402,4.4323654,1.5857734E-4,-0.19999981,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,-95.73055,-95.73055,-95.73055,-95.73055,-95.73055,-95.73055,2.6999998,5705825.0,1.5050362,4.4526734,0.010336009,-0.058515787,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3
-0.039654255,0.0,0.0,0.0,0.0,3.2,0.0,-44.19097,-44.19097,-44.19097,-44.19097,-44.19097,-44.19097,2.825,1.582268E7,0.87002313,2.8028684,6.7019317E-4,-0.021602154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.08513725,0.0,0.0,0.0,0.0,0.0,0.0,-56.997913,-56.997913,-56.997913,-56.997913,-56.997913,-56.997913,3.025,1.6167113E7,0.89067584,3.0393472,0.008005512,-0.11240554,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6
-0.080759645,0.0,0.0,0.0,0.0,3.4,0.0,-44.484722,-44.484722,-44.484722,-44.484722,-44.484722,-44.484722,3.2000003,2.0414802E7,1.0751417,3.7855062,0.014224802,-0.12093711,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5
-0.021359205,0.0,0.0,0.0,0.0,3.4,0.0,-19.660416,-19.660416,-19.660416,-19.660416,-19.660416,-19.660416,3.125,4.3176236E7,0.58739823,2.1806724,0.02359736,-0.31242585,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.051362038,-0.039654255,0.0,0.0,0.0,0.0,0.0,-46.238197,-46.238197,-46.238197,-46.238197,-46.238197,-46.238197,2.9499998,1.5862988E7,0.5116248,1.8543459,0.011449128,-0.22442532,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.094420075,-0.08513725,0.0,0.0,0.0,0.0,0.0,-50.019444,-50.019444,-50.019444,-50.019444,-50.019444,-50.019444,2.8,1.1492775E7,0.61228853,2.0594606,0.0056814644,0.0364542,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
