@relation EQP_5-17_unspecified-unspecified_prediction-horizon-7days

@attribute x1_bM numeric
@attribute x2_bM numeric
@attribute x3_bM numeric
@attribute x4_bM numeric
@attribute x5_bM numeric
@attribute x6_indep_bM numeric
@attribute x7_bM numeric
@attribute T3.5_indep_bA numeric
@attribute T3.6_indep_bA numeric
@attribute T3.7_indep_bA numeric
@attribute T3.8_indep_bA numeric
@attribute T3.9_indep_bA numeric
@attribute T4_indep_bA numeric
@attribute Mmean_indep_bA numeric
@attribute dE12_indep_bA numeric
@attribute bA numeric
@attribute a_bA numeric
@attribute eta_bA numeric
@attribute deltaM_bA numeric
@attribute mu3.5_indep_bA numeric
@attribute mu3.6_indep_bA numeric
@attribute mu3.7_indep_bA numeric
@attribute mu3.8_indep_bA numeric
@attribute mu3.9_indep_bA numeric
@attribute mu4_indep_bA numeric
@attribute c3.5_indep_bA numeric
@attribute c3.6_indep_bA numeric
@attribute c3.7_indep_bA numeric
@attribute c3.8_indep_bA numeric
@attribute c3.9_indep_bA numeric
@attribute c4_indep_bA numeric
@attribute continuousClass numeric

@data
0.0,0.0,0.0,0.0,0.0,3.0,0.0,326.39792,0.0,0.0,0.0,0.0,0.0,2.75,4334835.5,1.5051934,4.5155697,7.200166E-11,6.914139E-6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4
0.0,0.0,0.0,0.0,0.0,3.0,0.0,326.39792,0.0,0.0,0.0,0.0,0.0,2.8,7860765.5,0.7525779,2.5587633,4.92643E-13,-0.39999795,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5
0.0,0.0,0.0,0.0,0.0,3.4,0.0,326.39792,0.0,0.0,0.0,0.0,0.0,3.0,1.8851928E7,0.7525764,2.6468048,0.010336057,-0.11699128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,326.39792,0.0,0.0,0.0,0.0,0.0,2.975,4.451874E7,0.6432366,2.3027046,0.014545731,-0.1798718,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.6
-0.13873088,0.0,0.0,0.0,0.0,3.0,0.0,326.39792,0.0,0.0,0.0,0.0,0.0,2.975,2.15055888E8,0.6432366,2.3027043,0.014545731,-0.17987156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4
-0.06930876,0.0,0.0,0.0,0.0,4.6,0.0,530.2535,530.2535,530.2535,530.2535,530.2535,530.2535,3.375,2.73460896E8,0.29000905,1.3238335,6.701916E-4,0.035199165,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4
-0.124189734,0.0,0.0,0.0,0.0,4.6,0.0,530.2535,530.2535,530.2535,530.2535,530.2535,530.2535,3.15,2.6117272E8,0.2787318,1.2542926,0.006153147,0.100001335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5
-0.07076478,0.0,0.0,0.0,0.0,4.6,0.0,530.2535,530.2535,530.2535,530.2535,530.2535,530.2535,3.375,5.9858918E8,0.29000905,1.3238335,6.701916E-4,0.035199165,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0076503754,-0.13873088,0.0,0.0,0.0,0.0,0.0,530.2535,530.2535,530.2535,530.2535,530.2535,530.2535,3.25,7.2376464E7,0.28886718,1.3151058,4.5767138E-4,0.047368526,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9
-0.011936545,-0.06930876,0.0,0.0,0.0,3.2,0.0,530.2535,530.2535,530.2535,530.2535,530.2535,530.2535,2.8999999,1.6543849E7,0.5929309,2.0957873,0.0057208966,-0.13462305,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
