@relation 'trafico2011_15ming'

@attribute intensidad numeric
@attribute tocup numeric
@attribute vmed numeric
@attribute gap numeric
@attribute congestion {0,1}

@data
94,3,59,53,0
170,6,56,46,0
334,16,50,27,0
326,14,52,31,0
452,29,38,16,0
446,43,26,10,1
446,39,30,11,0
466,36,32,13,0
487,37,33,12,0
476,38,32,12,1
423,51,22,8,1
432,49,23,8,1
418,49,22,8,1
416,51,22,8,1
434,46,24,8,0
438,47,23,8,0
445,43,26,9,0
428,29,38,17,0
410,20,47,23,0
412,23,44,22,0
435,27,40,18,0
434,22,47,22,0
445,31,37,15,0
382,19,49,25,0
332,14,54,33,0
349,15,52,31,0
358,16,52,29,0
382,17,51,28,0
478,33,36,14,0
395,19,48,26,0
426,21,48,24,0
401,18,51,26,0
443,24,46,21,0
451,45,26,9,1
458,46,26,8,0
459,26,44,19,1
483,35,37,14,1
431,37,33,14,0
455,22,49,22,0
455,25,45,20,0
359,15,52,30,0
355,15,53,29,1
478,29,41,16,0
477,29,40,17,1
462,32,39,17,0
441,25,41,20,1
452,41,28,10,0
417,22,45,23,1
475,39,31,11,1
448,39,30,12,1
427,44,26,10,1
410,50,21,8,0
430,33,32,14,1
421,46,23,9,0
408,28,37,18,0
373,16,50,29,0
345,15,49,29,0
355,17,48,28,0
325,14,51,33,0
327,14,51,32,0
315,14,51,34,0
260,11,54,41,0
263,11,53,40,0
221,9,54,42,0
256,10,55,40,0
216,8,54,40,0
159,6,56,48,0
96,3,58,48,0
69,2,60,41,0
2,0,52,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
1,0,53,0,0
0,0,0,0,0
0,0,0,0,0
1,0,24,0,0
0,0,0,0,0
1,0,50,0,0
1,0,62,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
3,0,60,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
5,0,62,19,0
175,7,56,44,0
292,12,52,34,0
344,15,52,30,0
414,21,46,23,1
448,43,27,10,0
447,31,37,16,0
431,21,46,22,0
393,17,51,28,1
439,42,30,11,1
459,50,24,8,0
474,47,25,8,0
415,24,43,21,0
475,37,33,13,1
428,29,41,18,0
432,25,44,21,0
26,17,0,0,0
447,21,49,23,0
416,20,49,25,0
412,20,49,24,0
446,22,47,22,0
415,20,49,24,0
419,22,45,23,0
468,26,44,19,0
457,26,44,18,0
387,20,46,24,0
476,29,41,16,1
440,44,28,10,0
482,36,32,12,0
459,34,34,14,0
401,18,51,27,0
388,16,52,28,1
448,26,45,21,1
437,50,23,7,1
441,51,22,7,1
451,47,26,9,1
483,47,27,9,1
444,50,23,8,1
465,33,37,15,0
462,26,43,18,0
464,26,45,19,1
457,30,40,17,0
462,23,48,21,0
478,23,48,20,1
467,35,34,13,0
427,20,50,25,1
446,40,29,11,1
446,40,29,11,1
462,35,36,14,1
409,38,28,12,1
425,33,35,15,1
426,47,26,9,0
440,30,36,16,1
396,45,23,9,0
396,22,43,23,0
382,18,49,27,0
361,16,49,29,0
379,18,48,27,0
345,15,51,31,0
342,15,51,31,0
309,13,52,34,0
279,12,53,39,0
227,9,55,44,0
220,9,54,41,0
242,10,54,38,0
209,8,54,37,0
132,5,57,47,0
137,4,59,48,0
129,4,57,45,0
97,3,56,46,0
77,2,57,51,0
70,2,58,49,0
71,2,57,56,0
45,1,58,52,0
42,1,60,46,0
37,0,58,20,0
26,0,62,28,0
27,0,63,38,0
18,0,60,14,0
15,0,58,26,0
11,0,54,7,0
17,0,61,16,0
7,0,59,0,0
8,0,58,17,0
7,0,66,0,0
7,0,60,48,0
14,0,60,25,0
12,0,55,20,0
12,0,57,5,0
20,0,57,35,0
15,0,58,6,0
13,0,57,2,0
5,0,62,0,0
50,1,58,36,0
70,2,59,50,0
89,3,59,56,0
174,7,54,42,0
337,15,51,29,0
346,16,50,28,0
475,29,41,17,0
434,48,23,8,0
486,34,34,12,1
419,52,23,8,1
469,42,29,10,1
464,43,30,11,1
480,43,28,10,1
444,44,28,10,0
436,30,38,17,1
464,35,35,14,1
407,29,40,19,0
367,16,52,29,0
347,15,52,32,0
326,14,52,32,0
356,16,52,30,0
327,14,53,32,0
357,16,52,30,0
422,21,48,23,0
444,23,46,20,0
471,25,45,19,0
435,23,46,20,0
464,23,48,21,0
467,27,42,17,0
459,23,48,21,1
471,38,31,11,0
415,24,44,22,0
410,18,52,26,1
436,36,35,15,1
411,51,23,8,1
436,51,24,8,1
437,53,23,7,1
477,48,25,8,1
453,41,31,12,1
472,35,35,13,0
491,28,42,16,0
437,22,48,22,0
463,22,49,22,0
459,27,43,18,0
496,29,41,16,0
452,29,39,18,0
378,16,52,30,0
405,19,49,25,0
416,20,49,24,0
489,38,33,12,0
443,22,46,22,1
442,45,26,10,1
424,43,28,11,1
422,47,23,8,0
446,35,32,13,1
422,42,26,10,0
382,18,47,26,0
372,17,49,28,0
387,22,43,22,1
430,34,36,15,0
449,31,36,15,0
413,22,44,23,0
444,23,46,21,0
348,15,51,27,0
300,13,51,33,0
249,13,51,33,0
311,14,51,31,0
229,9,55,39,0
164,6,56,50,0
137,5,57,49,0
130,4,57,52,0
121,4,58,54,0
86,3,56,59,0
84,3,59,48,0
73,2,57,47,0
63,2,58,50,0
52,1,59,51,0
36,1,58,39,0
34,1,61,26,0
36,0,58,38,0
29,0,58,40,0
20,0,56,51,0
2,0,64,0,0
23,1,65,52,0
28,1,61,52,0
16,0,59,64,0
10,0,56,25,0
15,0,56,16,0
10,0,60,0,0
23,0,58,45,0
16,0,59,25,0
16,0,58,10,0
24,0,59,23,0
23,0,60,22,0
19,0,59,18,0
31,1,58,46,0
46,1,58,33,0
57,2,58,40,0
81,2,58,52,0
180,7,56,44,0
335,15,51,31,0
368,16,51,28,0
448,24,45,19,1
450,46,25,9,0
472,35,34,13,0
466,28,42,17,1
450,48,24,8,0
468,40,30,11,1
420,40,32,13,0
389,21,46,24,0
476,35,33,13,0
397,18,50,26,0
351,16,51,30,0
361,15,53,30,0
248,14,47,28,1
288,27,39,22,0
362,16,51,28,0
319,14,53,32,0
347,15,52,33,0
360,16,52,27,0
369,16,51,28,0
377,16,52,29,0
368,16,51,29,0
365,16,52,28,0
460,24,46,20,0
489,32,38,15,1
194,69,20,9,1
290,63,23,8,1
466,39,32,11,1
444,39,33,12,1
432,55,21,6,1
426,51,22,8,1
458,47,25,8,0
450,47,24,8,1
439,53,22,7,0
448,48,24,8,1
426,52,23,8,1
430,38,33,14,0
359,15,53,31,1
485,32,39,15,0
417,27,40,19,0
470,27,42,18,1
435,28,39,17,1
468,35,36,14,0
439,25,43,20,1
414,34,34,15,0
425,27,41,20,1
448,39,31,12,1
425,47,25,9,1
423,47,24,9,1
419,49,22,8,1
427,48,24,8,1
408,47,24,9,1
406,29,37,18,1
425,31,36,16,1
433,33,33,14,0
454,25,44,20,0
405,27,39,19,0
325,14,51,32,0
313,13,52,35,0
265,11,53,40,0
256,10,53,38,0
291,12,54,35,0
265,11,52,36,0
174,7,54,44,0
173,6,57,43,0
72,6.14,57.86,44,0
384,19,48,25,0
408,21,47,24,0
350,17,49,28,0
340,15,51,31,0
451,24,45,20,0
427,23,45,22,1
407,33,34,15,0
372,17,50,26,0
308,13,54,33,0
258,11,55,41,0
217,8,56,42,0
223,9,56,41,0
189,7,56,39,0
185,7,56,45,0
239,10,55,38,0
271,11,53,36,0
286,12,54,34,0
241,10,54,38,0
228,9,54,36,0
265,11,53,36,0
301,13,52,33,0
197,7,55,47,0
206,9,51,38,0
278,12,52,35,0
266,11,53,41,0
246,10,54,40,0
236,10,54,40,0
229,9,53,41,0
248,11,52,34,0
246,10,54,40,0
244,10,53,41,0
231,9,54,42,0
216,9,54,42,0
229,9,54,37,0
226,9,55,43,0
199,8,54,43,0
197,8,55,45,0
178,7,55,46,0
159,6,55,47,0
144,5,55,43,0
126,4,55,50,0
113,4,57,51,0
106,4,56,47,0
107,4,56,51,0
106,4,57,51,0
105,4,56,50,0
103,4,57,49,0
101,4,55,48,0
83,3,56,43,0
81,2,56,48,0
65,2,57,54,0
59,2,58,46,0
67,2,56,44,0
56,1,57,43,0
46,1,57,41,0
38,1,54,50,0
51,1,58,38,0
33,1,56,32,0
39,1,55,38,0
28,0,57,31,0
28,0,57,26,0
29,0,57,29,0
42,1,56,37,0
30,0,57,44,0
23,0,58,10,0
26,0,58,14,0
33,0,57,22,0
29,0,57,46,0
23,0,56,26,0
46,1,58,44,0
45,1,56,34,0
70,2,57,56,0
53,1,57,45,0
51,1,61,53,0
58,1,58,44,0
66,2,54,42,0
50,1,58,51,0
50,1,57,45,0
61,2,58,46,0
53,1,56,38,0
70,2,58,47,0
60,1,60,46,0
79,2,56,50,0
73,2,59,47,0
110,4,59,49,0
115,4,57,57,0
134,5,56,41,0
133,5,58,44,0
153,6,57,43,0
199,8,56,42,0
175,7,55,42,0
200,8,55,40,0
239,10,55,37,0
258,11,53,38,0
247,10,54,36,0
284,12,54,35,0
258,11,54,38,0
288,12,54,37,0
324,15,51,32,0
409,21,46,23,0
359,17,50,28,0
396,19,48,25,0
345,16,50,30,0
310,14,51,32,0
246,10,54,35,0
200,8,55,41,0
178,7,55,40,0
194,8,56,39,0
155,6,56,44,0
168,7,56,47,0
181,7,56,46,0
228,9,55,42,0
226,9,56,40,0
258,11,53,36,0
283,12,53,35,0
321,14,53,32,0
316,14,52,29,0
308,13,52,32,0
338,14,52,31,0
382,19,48,25,0
343,16,50,29,0
354,16,50,28,0
378,18,50,26,0
352,16,51,30,0
303,14,51,32,1
401,25,42,21,0
268,12,52,37,0
272,11,53,37,0
214,9,53,42,0
206,8,54,44,0
173,6,56,48,0
172,7,54,46,0
146,5,55,51,0
154,6,55,45,0
138,5,55,45,0
149,5,57,51,0
115,4,56,47,0
99,3,56,50,0
111,4,57,44,0
75,2,57,57,0
64,2,57,40,0
70,2,58,52,0
47,1,57,48,0
45,1,57,48,0
32,0,59,43,0
29,0,59,30,0
26,0,57,32,0
24,0,63,16,0
18,0,57,0,0
22,0,59,11,0
12,0,62,0,0
16,0,56,3,0
13,0,57,3,0
10,0,54,0,0
12,0,61,33,0
8,0,59,0,0
15,0,61,3,0
10,0,56,0,0
10,0,58,0,0
11,0,60,12,0
22,0,57,43,0
22,0,63,19,0
34,1,59,21,0
50,1,58,47,0
73,2,58,44,0
105,4,56,51,0
147,6,56,51,0
325,15,50,29,0
350,16,49,28,0
432,26,40,18,0
414,31,34,16,0
340,15,49,30,0
321,14,52,34,1
406,34,34,16,1
402,47,21,8,1
403,49,23,8,1
425,47,23,8,1
405,49,21,8,0
433,38,28,11,1
414,46,25,9,0
447,45,25,9,1
418,47,24,9,0
442,29,39,17,0
427,21,48,23,0
345,16,51,30,0
380,17,50,26,0
438,25,44,20,1
228,49,33,18,1
153,55,15,12,1
126,14,24,33,1
314,25,32,16,0
411,25,41,20,0
419,23,44,20,0
440,34,32,13,0
372,17,52,28,0
397,18,51,26,0
400,18,51,26,0
449,22,48,22,0
428,49,23,8,1
447,47,25,9,1
442,38,31,13,0
500,36,35,13,1
421,51,23,8,0
457,48,23,8,1
451,45,25,9,1
456,42,29,10,0
448,25,44,20,0
420,29,37,18,0
368,16,53,30,0
390,18,49,27,1
425,26,43,20,0
403,21,45,23,0
98,17.25,50.55,28.39,0
341,15,51,32,0
355,16,49,29,0
336,14,52,32,0
308,13,52,33,0
296,13,51,34,0
278,12,52,37,0
259,11,53,39,0
198,8,55,46,0
244,10,53,37,0
184,7,57,42,0
125,4,58,53,0
117,4,55,45,0
103,3,56,51,0
97,3,59,50,0
70,2,58,50,0
55,1,59,63,0
62,2,55,47,0
21,0,61,29,0
10,0,57,0,0
17,0,64,12,0
6,0,77,0,0
9,0,56,36,0
5,0,66,0,0
5,0,56,31,0
9,0,58,19,0
5,0,54,0,0
1,0,60,0,0
6,0,55,0,0
3,0,56,0,0
9,0,58,16,0
8,0,56,0,0
7,0,52,0,0
13,0,61,4,0
3,0,60,0,0
11,0,58,23,0
18,0,60,12,0
20,0,58,13,0
21,0,59,15,0
35,0,60,39,0
79,2,58,39,0
79,2,58,54,0
157,6,57,46,0
307,13,52,31,0
348,16,51,28,0
457,26,43,18,0
438,44,25,9,0
458,33,33,13,1
453,41,30,12,0
469,38,32,12,0
453,41,29,11,1
427,51,22,7,1
489,43,28,10,0
391,18,50,27,0
459,27,41,18,1
473,37,33,13,0
451,24,45,20,0
435,21,48,23,0
425,23,45,21,0
396,19,50,26,0
399,19,48,24,0
454,23,47,21,0
425,21,48,22,0
441,23,46,21,0
415,20,49,24,0
437,22,48,23,1
431,25,45,20,0
464,23,48,22,0
451,25,44,19,1
431,26,44,19,0
463,25,44,19,0
475,33,36,15,0
406,18,51,26,0
435,21,48,23,1
466,41,29,11,0
478,36,34,13,0
446,21,49,22,1
476,36,37,14,1
465,36,37,14,0
484,24,47,20,1
445,24,47,21,0
470,24,47,20,0
464,22,49,22,0
469,26,44,18,0
452,23,47,21,1
457,31,38,16,0
400,18,50,25,0
382,17,50,28,0
378,17,50,28,1
457,36,34,14,1
437,41,30,12,0
458,41,27,10,0
385,25,40,22,0
406,24,41,20,1
413,40,27,12,0
430,28,38,18,0
365,17,49,28,0
378,19,47,24,0
354,15,51,29,0
323,15,50,32,0
326,14,52,34,0
299,13,52,35,0
263,11,53,40,0
262,11,54,38,0
224,9,55,43,0
258,10,54,40,0
218,8,55,44,0
175,6,55,42,0
156,6,56,46,0
124,5,56,40,0
115,4,57,53,0
72,2,57,55,0
64,2,58,37,0
63,2,58,45,0
56,1,60,50,0
39,1,60,21,0
33,1,56,35,0
30,0,64,15,0
23,0,62,42,0
15,0,61,44,0
19,0,59,22,0
16,0,61,22,0
14,0,65,32,0
15,0,56,33,0
10,0,50,11,0
10,0,60,0,0
10,0,57,8,0
8,0,58,0,0
11,0,58,14,0
9,0,71,9,0
6,0,57,30,0
16,0,56,15,0
11,0,55,19,0
20,0,57,24,0
22,0,59,25,0
49,1,59,51,0
59,2,58,50,0
100,3,59,57,0
164,6,57,45,0
296,13,53,35,0
365,18,49,27,0
435,26,41,18,0
450,45,25,9,1
455,41,30,11,0
477,32,35,14,0
463,44,26,9,0
448,49,23,7,0
466,45,26,9,1
474,37,32,12,1
390,25,43,22,0
374,17,50,29,0
337,15,51,30,0
346,15,52,30,0
376,17,51,27,0
337,14,53,31,0
349,16,52,30,0
311,14,53,33,0
431,20,50,23,0
408,19,50,25,0
448,22,47,22,0
414,20,49,24,0
437,21,49,22,0
440,21,49,22,0
438,22,48,23,0
470,26,44,18,0
360,16,52,29,0
390,17,51,27,0
400,18,51,26,0
405,18,51,26,1
438,28,44,20,1
449,52,24,7,1
463,49,24,8,1
462,46,26,9,1
482,41,30,10,1
442,50,23,8,0
405,28,39,20,0
354,15,54,31,0
346,15,53,32,0
380,16,52,29,0
366,15,53,31,0
489,27,44,19,1
466,42,28,10,0
427,32,35,16,0
367,17,50,29,0
405,18,49,26,0
413,22,45,23,0
456,40,31,12,1
425,41,29,12,0
457,30,38,16,1
416,42,27,11,0
426,31,34,15,1
423,42,26,10,0
369,17,49,27,0
336,15,50,31,0
373,17,48,27,0
358,16,50,30,0
336,15,50,32,0
307,13,51,35,0
285,12,53,37,0
251,10,54,41,0
199,8,55,49,0
265,11,54,37,0
327,14,52,31,0
220,9,55,39,0
171,6,55,42,0
149,6,56,46,0
131,5,57,49,0
107,3,57,50,0
95,3,57,42,0
73,2,59,50,0
63,2,58,53,0
50,1,60,39,0
50,1,57,41,0
29,0,59,44,0
30,0,58,33,0
28,0,62,34,0
18,0,59,13,0
16,0,59,0,0
20,0,58,27,0
11,0,60,0,0
14,0,61,0,0
9,0,62,44,0
7,0,63,19,0
9,0,67,18,0
13,0,56,0,0
9,0,61,0,0
9,0,57,54,0
7,0,57,42,0
14,0,60,8,0
13,0,62,51,0
30,0,61,35,0
50,1,57,61,0
77,2,57,53,0
83,3,60,57,0
187,7,56,44,0
332,15,51,30,0
311,14,53,31,0
463,27,41,18,0
473,42,27,9,1
476,33,35,14,1
462,35,34,13,0
461,34,35,14,1
454,48,25,8,1
483,39,31,11,1
460,27,42,17,1
439,32,36,15,0
473,28,41,18,1
479,33,38,15,0
452,28,41,18,0
407,21,47,24,0
438,21,48,22,0
451,28,41,17,0
337,15,51,31,0
341,15,52,32,0
362,15,53,31,0
351,15,53,32,0
349,15,52,32,0
349,15,52,31,0
369,17,52,27,0
468,28,42,17,0
429,27,42,19,0
427,27,42,20,0
378,16,53,28,0
400,18,52,26,1
468,36,35,14,1
458,44,28,10,1
424,50,23,8,1
328,51,25,9,0
149,15,22,26,1
429,42,28,10,1
443,51,23,7,1
423,39,33,13,0
370,16,52,28,0
368,16,53,30,0
499,34,37,14,0
428,25,42,20,0
352,16,52,29,0
389,18,50,28,1
433,22,47,22,1
435,45,27,9,1
408,46,26,10,0
430,25,43,20,1
421,49,22,8,1
426,38,30,12,1
418,47,24,9,1
405,48,24,9,1
424,47,24,8,1
423,37,32,13,1
400,46,24,9,0
403,19,48,25,0
364,17,48,28,0
349,15,51,30,0
337,14,51,32,0
329,14,52,34,0
309,13,52,34,0
266,11,54,37,0
244,9,55,41,0
284,12,53,34,0
267,10,54,37,0
192,7,55,41,0
149,5,56,39,0
138,5,57,48,0
128,5,56,46,0
94,3,58,50,0
110,4,56,44,0
89,3,61,47,0
71,2,57,54,0
48,1,56,44,0
61,2,56,57,0
45,1,57,39,0
37,1,59,27,0
29,0,58,39,0
39,1,61,52,0
21,0,62,38,0
14,0,67,0,0
17,0,62,7,0
15,0,59,37,0
11,0,62,11,0
17,0,64,22,0
17,0,60,22,0
12,0,55,9,0
9,0,60,43,0
12,0,61,0,0
13,0,61,0,0
16,0,59,14,0
19,0,68,28,0
30,0,62,26,0
68,2,58,52,0
84,3,59,50,0
92,3,58,48,0
167,6,57,40,0
322,15,51,30,0
350,16,51,29,0
424,23,45,21,1
437,47,25,9,1
469,36,33,13,0
490,35,34,13,0
456,43,26,10,1
454,46,25,9,0
466,34,35,14,1
439,33,35,15,0
396,19,49,25,1
436,24,45,21,0
495,30,40,15,1
270,53,27,11,0
391,20,46,24,0
346,15,53,31,0
329,14,53,31,0
334,14,54,32,0
334,15,52,30,0
357,16,51,29,0
366,16,51,30,0
358,15,53,30,0
373,17,51,29,0
379,17,51,28,0
413,20,48,25,0
417,26,41,19,0
469,24,46,20,1
428,27,40,19,1
476,36,34,13,1
484,38,32,11,1
476,37,33,12,1
408,37,32,14,1
418,35,32,13,1
423,53,22,7,1
411,50,23,8,1
266,42,23,11,1
198,37,23,18,1
365,42,30,13,1
370,54,21,7,1
416,46,29,11,0
405,18,51,26,0
452,33,35,14,1
432,39,32,12,1
408,45,26,10,0
419,40,27,11,1
410,41,28,11,0
401,22,43,22,1
409,41,32,14,0
443,33,34,15,0
383,18,48,26,0
365,18,47,27,1
394,46,24,10,0
406,24,40,19,0
351,15,50,30,0
364,18,47,28,0
349,15,51,31,0
367,16,50,28,0
347,15,50,30,0
326,14,51,31,0
317,14,51,31,0
297,13,52,36,0
273,11,53,38,0
311,13,53,34,0
277,11,53,35,0
202,8,54,41,0
176,7,55,41,0
172,7,54,42,0
128,5,55,42,0
103,3,57,52,0
91,3,57,48,0
90,3,56,44,0
107,3,57,57,0
79,2,59,51,0
81,3,56,50,0
70,2,56,40,0
61,1,59,49,0
63,2,58,59,0
51,1,56,30,0
43,1,58,31,0
41,1,58,29,0
54,1,59,44,0
33,0,57,35,0
33,1,56,41,0
42,1,58,39,0
17,0,59,22,0
34,0,58,29,0
20,0,57,33,0
28,0,59,24,0
27,0,58,9,0
21,0,58,21,0
30,1,57,22,0
27,0,58,22,0
40,1,59,36,0
43,1,58,39,0
67,2,59,42,0
76,2,59,47,0
134,5,56,42,0
132,5,56,43,0
127,5,57,53,0
149,6,55,38,0
174,7,54,45,0
192,8,56,40,0
153,6,55,38,0
178,7,56,39,0
207,9,54,37,0
250,10,55,39,0
252,10,55,36,0
242,10,55,38,0
303,13,53,29,0
305,13,52,31,0
285,12,54,34,0
343,15,52,28,0
323,14,53,29,0
342,15,53,30,0
355,16,52,29,0
405,18,51,26,1
410,23,47,23,0
340,14,53,32,0
332,14,53,30,0
337,14,53,33,0
358,15,53,31,0
357,15,53,29,0
352,15,52,31,0
359,15,53,30,0
343,15,53,32,0
354,15,54,32,0
365,15,54,31,0
362,15,52,30,0
332,13,55,33,0
282,11,55,38,0
251,9,57,41,0
250,10,56,36,0
266,11,56,39,0
197,7,56,42,0
233,9,56,39,0
271,11,54,34,0
262,11,55,35,0
293,12,55,37,0
306,18,44,27,0
258,10,55,42,0
255,11,54,39,0
288,12,53,37,0
286,12,53,36,0
291,12,53,37,0
295,13,52,35,0
305,13,52,35,0
309,13,53,35,0
320,14,52,32,0
314,13,52,33,0
265,11,53,39,0
278,12,52,36,0
273,12,53,37,0
267,11,53,38,0
247,10,54,42,0
271,12,53,36,0
268,12,53,35,0
256,11,52,36,0
249,11,53,33,0
243,10,53,36,0
196,8,54,40,0
168,7,55,39,0
144,5,55,46,0
141,5,56,46,0
117,4,56,50,0
118,4,56,49,0
105,4,56,45,0
97,3,56,50,0
119,4,55,53,0
97,3,57,51,0
98,3,56,54,0
59,2,58,57,0
77,2,56,43,0
59,2,57,50,0
53,1,56,32,0
57,2,58,63,0
43,1,55,42,0
44,1,57,47,0
28,0,57,21,0
34,0,59,25,0
33,1,57,23,0
34,1,57,33,0
29,0,60,23,0
23,0,55,3,0
22,0,55,15,0
29,0,57,14,0
24,0,56,21,0
33,1,57,19,0
26,0,60,11,0
39,0,57,34,0
26,0,57,9,0
55,1,57,40,0
54,1,57,37,0
78,2,56,46,0
65,2,56,43,0
75,2,56,51,0
83,3,57,53,0
105,4,56,50,0
66,2,56,48,0
63,2,57,46,0
96,3,58,44,0
117,4,58,48,0
94,3,57,44,0
106,3,60,49,0
117,4,57,45,0
119,4,59,52,0
153,5,58,44,0
128,5,58,50,0
164,6,57,42,0
173,7,56,40,0
233,9,56,34,0
207,8,55,38,0
255,11,52,34,0
251,10,57,40,0
264,10,56,34,0
278,11,56,38,0
280,12,54,33,0
311,13,53,34,0
275,11,55,33,0
302,12,54,33,0
293,12,55,37,0
354,15,53,31,0
470,21,50,22,0
478,23,47,20,0
476,26,43,18,0
367,16,52,29,0
267,10,56,39,0
221,8,57,39,0
222,9,55,44,0
181,7,58,45,0
160,6,60,46,0
177,7,59,41,0
189,7,58,42,0
214,8,58,40,0
253,10,55,37,0
250,10,57,36,0
281,12,54,32,0
313,13,54,32,0
331,14,52,32,0
367,17,50,27,0
343,15,51,31,0
353,16,51,29,0
346,16,51,31,0
344,15,50,30,0
352,15,52,30,0
352,16,50,30,0
384,18,48,26,0
388,19,47,25,0
367,17,49,28,0
367,19,46,24,0
355,16,50,28,0
286,12,52,34,0
248,10,54,38,0
233,9,54,40,0
214,8,56,43,0
201,8,55,45,0
131,5,57,50,0
104,3,57,41,0
100,3,58,46,0
88,3,57,44,0
82,3,60,58,0
84,3,57,48,0
62,2,57,51,0
59,1,58,52,0
44,1,62,72,0
68,2,56,52,0
76,3,53,57,0
50,2,56,39,0
31,1,57,36,0
18,0,56,15,0
22,0,60,19,0
17,0,59,26,0
12,0,58,10,0
6,0,57,0,0
11,0,58,5,0
13,0,56,55,0
8,0,60,29,0
5,0,65,0,0
9,0,58,18,0
13,0,59,14,0
7,0,59,5,0
13,0,61,0,0
18,0,63,4,0
23,0,58,26,0
39,1,59,38,0
52,1,60,65,0
70,2,59,47,0
99,3,56,42,0
183,7,56,44,0
313,14,51,30,0
372,17,51,28,0
437,24,43,19,0
443,43,26,10,0
475,31,36,14,1
471,41,31,12,0
438,31,36,16,0
395,19,48,25,1
482,46,27,9,0
476,47,25,8,0
424,26,40,19,0
422,24,42,20,0
490,29,40,16,0
445,23,47,21,0
435,22,47,22,0
415,22,46,22,0
430,23,45,21,0
411,21,47,23,0
436,22,47,22,0
459,24,45,20,0
399,19,49,24,0
371,17,51,29,0
347,15,53,31,0
351,15,52,32,0
348,16,52,29,0
370,16,53,29,0
379,16,52,29,0
399,19,50,26,0
410,19,50,26,0
398,17,51,26,0
444,27,42,19,1
454,49,25,8,1
438,50,23,8,1
441,50,25,9,1
470,45,26,9,1
447,47,25,9,0
397,20,48,25,0
359,15,53,32,0
336,14,53,32,0
453,25,44,19,0
460,24,46,20,0
462,26,43,19,0
470,29,42,17,0
421,27,40,19,0
383,17,50,28,0
452,33,35,15,1
448,46,26,9,1
443,49,23,8,1
441,42,28,11,1
432,49,23,8,1
418,48,23,8,0
444,29,36,16,0
450,44,25,9,1
426,48,24,8,1
436,36,33,14,1
389,26,40,20,0
329,14,51,32,0
318,13,52,35,0
304,12,53,34,0
272,11,53,39,0
246,10,54,42,0
210,8,55,44,0
248,10,55,39,0
186,7,55,45,0
163,6,56,44,0
120,4,57,46,0
101,3,59,55,0
95,3,57,50,0
70,2,57,57,0
55,1,57,35,0
41,1,59,34,0
49,1,61,57,0
31,0,60,38,0
33,0,61,31,0
20,0,60,29,0
22,0,58,20,0
24,0,54,35,0
10,0,59,0,0
13,0,60,6,0
12,0,54,3,0
10,0,62,0,0
7,0,65,0,0
5,0,69,0,0
8,0,70,1,0
9,0,55,21,0
7,0,60,29,0
12,0,56,10,0
11,0,60,0,0
9,0,64,0,0
16,0,59,13,0
23,0,60,36,0
24,0,56,41,0
41,1,62,36,0
67,2,58,48,0
94,3,57,49,0
185,7,54,45,0
291,13,53,34,0
325,14,52,31,0
430,23,45,21,0
451,34,34,14,1
453,40,29,11,0
485,41,30,11,0
453,41,28,11,1
478,38,32,12,0
471,36,32,12,1
449,52,23,7,1
378,28,38,20,0
466,30,40,16,0
476,37,32,12,0
451,23,46,20,0
439,23,45,21,0
450,23,46,20,0
397,19,48,24,1
384,30,40,20,0
311,13,53,34,0
344,15,52,32,0
349,16,51,29,0
324,13,54,33,0
359,16,51,29,0
359,16,51,30,0
383,16,53,29,0
349,15,53,31,0
362,16,51,29,0
378,17,50,28,0
411,19,50,25,1
495,36,36,13,0
483,34,36,14,1
437,51,23,7,1
449,49,24,8,1
453,31,38,16,0
500,35,35,13,0
431,25,43,20,0
485,23,48,20,0
466,23,47,21,0
472,22,50,22,1
461,30,43,17,0
488,30,39,15,1
69,4,34,37,0
10,0,30,10,0
269,13,46,23,0
402,19,47,25,0
396,19,47,24,0
400,23,42,22,1
456,47,25,9,0
427,30,36,16,1
432,46,25,9,0
444,32,35,15,1
413,52,22,7,1
421,48,22,8,1
420,48,23,8,1
441,45,25,9,1
451,35,34,14,0
434,23,46,22,0
437,21,48,23,0
410,20,46,22,0
352,17,49,29,0
290,12,53,35,0
274,12,51,35,0
249,10,54,41,0
247,9,55,36,0
138,5,57,48,0
137,5,57,50,0
123,4,58,55,0
107,4,58,58,0
64,2,57,46,0
57,1,58,43,0
53,1,57,47,0
50,1,58,50,0
74,2,56,44,0
30,0,61,32,0
28,0,61,12,0
32,0,59,28,0
20,0,56,32,0
15,0,58,10,0
10,0,56,18,0
18,0,61,27,0
12,0,57,0,0
6,0,62,0,0
9,0,65,0,0
11,0,61,22,0
7,0,58,0,0
11,0,58,14,0
8,0,56,15,0
12,0,58,10,0
15,0,59,15,0
13,0,60,0,0
17,0,60,18,0
24,0,62,32,0
37,1,61,42,0
63,2,57,34,0
92,3,57,47,0
173,7,55,47,0
294,12,54,32,0
360,16,50,28,0
425,23,44,22,1
445,49,24,8,1
424,49,22,8,1
429,47,24,8,0
473,35,33,12,1
342,45,29,12,1
390,43,25,10,1
444,34,34,14,1
471,43,27,9,1
470,48,26,8,0
