@relation 'trafico2011_15ming'

@attribute intensidad numeric
@attribute tocup numeric
@attribute vmed numeric
@attribute gap numeric
@attribute congestion {0,1}

@data
75,2,58,44,0
86,3,56,47,0
183,7,55,46,0
293,13,52,35,0
340,16,48,29,0
423,25,42,19,0
442,37,30,12,1
457,37,31,12,0
442,36,30,12,0
396,18,49,26,0
430,41,26,10,0
403,27,36,18,0
427,34,32,14,0
411,39,26,11,1
402,31,35,17,0
371,25,37,20,0
372,20,44,25,0
391,30,33,16,0
377,24,39,21,0
376,24,38,21,0
318,15,50,33,0
317,14,50,33,0
346,16,50,30,0
372,28,38,21,0
434,36,29,12,0
376,22,42,23,1
420,39,28,12,0
379,22,43,24,0
369,18,48,28,1
443,39,32,13,0
440,27,40,18,0
455,41,29,10,1
438,45,27,10,1
418,47,28,10,1
311,59,17,7,1
345,56,19,7,1
412,54,21,7,1
390,53,21,8,1
337,57,18,6,1
385,56,20,7,1
443,38,34,13,0
472,25,45,19,1
427,41,30,12,0
357,16,52,30,1
436,39,33,13,1
398,22,47,25,1
443,31,37,16,1
438,38,33,13,0
395,18,51,27,0
388,18,48,26,0
398,19,47,24,1
409,36,32,14,0
388,21,45,24,0
407,19,48,25,0
373,18,47,27,0
372,17,49,27,0
366,17,49,28,0
416,26,40,20,1
419,43,24,9,1
426,34,31,14,0
461,31,35,15,0
407,21,46,23,0
428,24,43,20,0
350,16,50,28,0
271,12,52,36,0
319,14,51,31,0
254,11,53,36,0
215,9,54,41,0
158,6,55,43,0
140,5,55,49,0
129,5,55,50,0
117,4,56,57,0
85,3,55,48,0
100,3,56,46,0
94,3,57,45,0
81,3,57,56,0
73,2,56,45,0
69,2,57,47,0
62,2,56,39,0
50,1,56,50,0
61,2,55,42,0
41,1,59,26,0
38,1,58,45,0
41,1,58,52,0
33,0,58,39,0
36,0,56,56,0
30,0,57,25,0
23,0,56,12,0
23,0,58,11,0
22,0,55,47,0
26,0,59,36,0
27,0,58,19,0
25,0,59,17,0
27,0,59,24,0
28,0,56,32,0
47,1,60,28,0
36,1,58,26,0
74,2,63,61,0
78,2,57,46,0
117,4,56,44,0
94,3,58,52,0
114,4,57,51,0
132,5,56,41,0
173,7,55,43,0
156,6,57,42,0
144,5,57,42,0
160,6,57,44,0
189,7,56,41,0
197,8,57,37,0
188,7,58,39,0
235,9,56,38,0
279,11,55,34,0
292,12,54,32,0
242,10,55,35,0
301,12,54,34,0
342,15,53,28,0
333,15,52,30,0
359,17,51,27,0
417,19,49,23,1
409,20,49,25,0
376,18,49,26,0
371,17,52,29,0
438,22,48,22,0
428,19,51,24,0
439,24,45,21,0
444,23,48,23,0
427,22,47,23,0
343,14,54,33,0
338,14,53,32,0
375,16,53,31,0
364,15,53,31,0
341,14,54,31,0
300,12,55,36,0
277,11,55,37,0
242,10,56,38,0
233,9,56,38,0
247,10,56,40,0
230,9,56,38,0
263,11,55,34,0
308,13,53,31,0
282,11,56,35,0
268,11,55,34,0
311,13,54,32,0
308,13,53,31,0
297,13,51,31,0
319,14,51,30,0
324,14,52,31,0
361,19,47,27,0
396,21,45,23,0
328,16,49,30,0
353,17,48,28,0
335,16,48,29,0
334,15,50,30,0
324,15,52,32,0
285,13,49,33,0
276,12,53,35,0
276,12,52,38,0
231,9,53,38,0
227,9,53,41,0
230,9,54,44,0
314,14,51,32,0
404,18,50,27,0
380,17,50,28,0
355,15,51,30,0
220,9,54,38,0
146,5,56,43,0
129,5,56,43,0
120,4,57,50,0
91,3,57,50,0
99,3,56,48,0
95,3,56,50,0
98,3,56,61,0
76,2,56,57,0
71,2,58,49,0
64,2,56,50,0
46,1,56,26,0
41,1,58,40,0
48,1,56,40,0
43,1,59,46,0
47,1,56,34,0
38,1,56,51,0
25,0,56,19,0
33,1,57,45,0
26,0,59,27,0
34,0,58,30,0
15,0,55,29,0
24,0,56,25,0
23,0,58,41,0
25,0,58,19,0
21,0,57,20,0
21,0,57,31,0
35,0,59,49,0
39,1,58,46,0
47,1,58,29,0
54,1,57,42,0
70,2,55,41,0
62,2,57,38,0
71,2,56,45,0
87,3,55,44,0
69,2,56,38,0
68,2,60,50,0
91,3,59,52,0
90,3,60,52,0
107,4,58,56,0
141,5,58,42,0
106,3,59,47,0
119,4,58,55,0
108,4,59,51,0
161,5,58,41,0
147,5,58,49,0
152,6,57,42,0
161,6,58,45,0
236,9,56,40,0
206,8,56,42,0
239,9,56,38,0
245,10,57,41,0
228,9,56,42,0
237,9,56,39,0
264,10,56,38,0
269,10,56,39,0
284,11,56,40,0
307,12,54,35,0
312,12,55,35,0
318,13,55,34,0
328,13,54,33,0
314,12,55,35,0
297,11,56,39,0
254,10,56,42,0
223,8,56,46,0
203,7,58,43,0
190,7,59,46,0
159,6,58,48,0
154,5,59,43,0
166,6,59,43,0
178,6,58,48,0
181,7,57,43,0
210,8,56,36,0
218,8,57,39,0
261,11,56,37,0
257,10,57,41,0
309,14,52,33,0
343,15,52,31,0
362,16,52,30,0
383,18,49,25,0
373,19,48,27,0
391,20,47,24,0
423,21,46,23,0
387,20,45,23,0
407,21,46,23,0
392,20,47,24,0
380,20,46,24,0
309,13,52,31,0
310,14,52,33,0
259,10,54,37,0
241,10,53,38,0
255,10,55,38,0
157,6,55,47,0
169,6,56,38,0
170,7,56,49,0
124,4,58,53,0
122,4,58,49,0
96,3,57,52,0
93,3,56,47,0
88,3,56,54,0
74,2,57,53,0
49,1,59,37,0
50,1,57,38,0
47,1,58,44,0
37,1,58,50,0
37,0,56,29,0
30,0,57,21,0
33,0,58,28,0
16,0,56,16,0
16,0,57,28,0
12,0,61,10,0
10,0,58,0,0
11,0,61,0,0
12,0,60,0,0
4,0,56,0,0
11,0,63,11,0
11,0,56,33,0
15,0,61,0,0
10,0,56,0,0
13,0,61,2,0
13,0,60,21,0
19,0,60,24,0
31,1,58,37,0
52,1,58,49,0
61,2,57,45,0
89,3,58,38,0
177,7,55,45,0
364,17,50,27,0
361,17,50,28,0
449,25,43,20,0
459,36,31,12,1
465,41,28,10,1
454,34,34,14,0
471,31,37,15,1
444,51,22,7,0
489,30,39,15,0
490,42,29,10,0
462,32,35,15,0
494,32,39,15,0
476,38,32,12,0
460,31,37,15,0
443,24,46,20,0
435,22,47,22,0
432,22,47,22,0
437,22,47,22,0
434,24,44,20,0
447,24,46,21,0
436,26,41,18,0
437,23,46,21,0
432,22,47,22,0
483,26,46,19,0
459,27,43,18,0
474,25,44,19,0
465,30,39,17,0
403,21,46,24,0
473,39,32,12,0
477,34,35,14,1
443,48,24,8,1
463,50,24,8,1
455,50,23,7,1
453,51,23,8,1
453,47,24,8,1
464,50,24,7,1
447,45,27,9,1
482,38,32,11,1
459,25,46,20,0
483,26,44,18,1
481,26,46,19,1
416,25,43,21,0
385,17,51,28,0
404,18,50,26,0
384,17,51,28,0
395,18,49,26,0
420,30,38,18,1
424,51,22,8,1
439,50,24,8,1
442,44,26,10,1
425,41,27,11,1
393,49,20,8,0
373,38,29,13,0
382,18,47,25,0
349,15,50,31,0
352,16,50,29,0
336,14,51,32,0
291,12,52,35,0
295,12,53,37,0
259,11,52,36,0
252,10,54,39,0
197,7,55,45,0
234,9,55,39,0
203,8,54,41,0
122,4,56,51,0
95,3,57,44,0
105,3,57,50,0
79,2,57,56,0
79,2,57,42,0
42,1,59,44,0
61,2,57,42,0
47,1,59,48,0
33,0,61,24,0
23,0,66,31,0
17,0,58,34,0
12,0,59,17,0
24,0,58,29,0
11,0,59,3,0
11,0,61,12,0
9,0,53,0,0
10,0,63,0,0
7,0,58,0,0
5,0,59,19,0
7,0,62,0,0
5,0,61,0,0
10,0,55,2,0
9,0,65,0,0
16,0,57,24,0
15,0,64,50,0
15,0,63,13,0
23,0,60,23,0
28,0,57,29,0
44,1,59,41,0
69,2,58,40,0
89,3,58,53,0
156,6,56,52,0
312,14,51,30,0
375,17,50,26,0
454,29,39,17,0
439,43,26,10,0
469,34,33,13,1
467,41,29,11,1
459,40,31,12,1
452,48,23,8,1
452,50,23,7,0
485,31,37,14,0
493,35,35,13,0
417,25,41,20,0
427,22,46,21,0
446,29,40,18,0
476,26,43,18,0
410,21,47,22,0
438,22,47,21,0
437,25,44,20,0
430,22,47,23,0
448,27,42,19,0
429,21,48,22,0
381,18,50,27,0
358,16,51,29,0
352,15,52,30,0
330,15,52,32,0
335,14,53,33,0
424,23,45,21,1
484,36,35,13,1
481,40,31,11,1
451,40,32,12,1
448,50,24,8,1
442,50,24,8,1
428,51,22,7,1
445,46,26,9,1
496,39,32,11,1
445,32,35,16,0
399,18,51,26,0
457,26,42,19,0
456,22,48,21,0
502,33,37,14,1
462,32,38,16,0
419,20,49,24,0
410,23,44,21,0
459,35,34,13,0
413,20,48,24,1
483,32,38,15,0
477,34,36,14,0
454,39,28,11,1
460,40,30,11,0
408,27,38,18,1
404,28,39,19,1
439,35,32,13,0
385,18,48,26,0
357,16,49,29,0
334,14,51,32,0
350,16,49,31,0
328,14,51,32,0
314,13,51,34,0
306,13,52,35,0
264,11,54,40,0
258,10,54,38,0
235,9,54,43,0
259,10,54,34,0
211,8,54,42,0
152,6,55,44,0
106,3,59,52,0
109,4,56,47,0
99,3,58,55,0
77,3,56,50,0
69,2,59,41,0
65,2,59,45,0
54,1,60,42,0
42,1,62,30,0
27,0,58,22,0
30,0,56,25,0
22,0,63,53,0
17,0,65,5,0
23,0,58,14,0
12,0,60,0,0
11,0,58,26,0
15,0,63,37,0
9,0,59,16,0
9,0,65,0,0
8,0,57,0,0
9,0,58,0,0
7,0,55,0,0
10,0,54,19,0
10,0,61,57,0
12,0,60,5,0
15,0,58,4,0
23,0,60,16,0
29,0,57,29,0
39,1,58,50,0
75,3,57,47,0
83,3,57,49,0
197,8,54,41,0
315,14,52,32,0
352,16,51,27,0
449,25,43,19,0
460,39,29,11,0
471,43,28,10,1
498,33,37,14,1
460,41,28,10,1
435,29,40,18,1
464,47,26,9,0
463,28,40,17,0
427,27,41,20,0
381,18,49,26,0
492,30,39,15,0
331,14,53,33,0
323,14,52,32,0
325,15,52,32,0
303,13,54,36,0
331,15,52,32,0
318,14,53,33,0
391,19,48,26,0
454,26,43,18,0
385,19,48,26,0
348,15,52,30,0
465,35,34,13,0
457,25,44,20,0
462,24,46,20,0
458,32,37,15,0
389,18,50,27,0
409,19,50,25,0
404,19,50,26,1
462,43,30,11,1
424,53,21,7,1
416,51,24,8,1
148,26,23,24,1
437,41,30,11,1
439,51,23,7,0
413,24,43,22,0
360,15,54,32,0
383,16,52,28,0
358,15,53,31,0
383,17,50,28,0
484,31,39,15,0
472,33,36,14,1
420,25,43,21,0
389,17,51,28,0
428,34,32,13,0
411,23,44,23,0
408,37,28,12,1
392,44,26,10,1
428,39,31,12,0
395,22,43,23,1
420,37,31,13,0
393,22,42,22,0
369,17,49,28,0
366,17,49,28,0
349,16,49,29,0
335,15,50,32,0
364,16,50,27,0
316,13,52,34,0
261,11,54,38,0
260,10,54,36,0
217,8,55,41,0
