ID,0_ECDF Percentile Count_0,0_ECDF Percentile Count_1,0_ECDF Percentile_0,0_ECDF Percentile_1,0_ECDF_0,0_ECDF_1,0_ECDF_2,0_ECDF_3,0_ECDF_4,0_ECDF_5,0_ECDF_6,0_ECDF_7,0_ECDF_8,0_ECDF_9,0_Histogram_0,0_Histogram_1,0_Histogram_2,0_Histogram_3,0_Histogram_4,0_Histogram_5,0_Histogram_6,0_Histogram_7,0_Histogram_8,0_Histogram_9,0_Interquartile range,0_Kurtosis,0_Max,0_Mean,0_Mean absolute deviation,0_Median,0_Median absolute deviation,0_Min,0_Root mean square,0_Skewness,0_Standard deviation,0_Variance,1_ECDF Percentile Count_0,1_ECDF Percentile Count_1,1_ECDF Percentile_0,1_ECDF Percentile_1,1_ECDF_0,1_ECDF_1,1_ECDF_2,1_ECDF_3,1_ECDF_4,1_ECDF_5,1_ECDF_6,1_ECDF_7,1_ECDF_8,1_ECDF_9,1_Histogram_0,1_Histogram_1,1_Histogram_2,1_Histogram_3,1_Histogram_4,1_Histogram_5,1_Histogram_6,1_Histogram_7,1_Histogram_8,1_Histogram_9,1_Interquartile range,1_Kurtosis,1_Max,1_Mean,1_Mean absolute deviation,1_Median,1_Median absolute deviation,1_Min,1_Root mean square,1_Skewness,1_Standard deviation,1_Variance,Sujeto,Seccion,Genero,Curso,Horas comida,Anunciante,Saludable,Contenido,RelativoRef
50,0.0,0.0,165.0,141.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-20.0,1.7783372575633707,139.0,154.29900332225918,-9.746470789505633,156.0,-9.0,173.0,154.08530941600304,0.7129412776871697,-11.118267168682834,-266.88716460083265,0.0,0.0,-3.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,-2.4944658354549816,10.0,6.3654485049833625,5.121974371143725,8.0,6.0,12.0,6.554597583102293,0.004501510183522683,4.743833066403003,196.2504608116907,Sujeto4,IMG9,masculino,ESO2,,Influencer,SI,Barrita,1
64,2.0,8.0,105.0,92.0,-0.00011416698062579993,-0.00022833396125170047,-0.0003425009418775993,-0.0004566679225034998,-0.0005708349031292997,-0.0006850018837551985,-0.0007991688643811008,-0.0009133358450069996,-0.0010275028256327007,-0.0011416698062585995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-11.0,0.6865831551240691,93.0,98.52622986379879,-4.836678771204193,96.0,-6.0,107.0,98.47355990358642,0.40070136296299164,-5.011497047757903,-72.55097468649731,2.0,8.0,12.0,3.0,-0.00011416698062579993,-0.00022833396125170047,-0.0003425009418775993,-0.0004566679225034998,-0.0005708349031292997,-0.0006850018837551985,-0.0007991688643811008,-0.0009133358450069996,-0.0010275028256327007,-0.0011416698062585995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.0,-0.22968324421160619,-15.0,6.513180577913204,-4.784864210805863,7.0,-4.0,33.0,6.348722253452479,-0.4200955716763825,-6.142458638138871,-162.7086796012112,Sujeto5,IMG9,femenino,ESO3,,Influencer,SI,Barrita,1
78,0.0,0.0,-132.0,-139.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.0,-0.1260423584778238,-154.0,-136.42524916943512,-2.465933047096625,-139.0,-3.0,-125.0,-136.47802969716884,0.3629828514706043,-3.94140610208515,-148.54334941115354,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.354581396835842,8.0,1.8305647840531947,-1.2903168839195853,0.0,0.0,36.0,1.7215481059541275,1.0299473141103448,-2.459753678472527,-108.18123420271291,Sujeto6,IMG9,masculino,ESO3,,Influencer,SI,Barrita,1
92,804.0,624.0,96.0,79.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-11.0,-0.6919154749419643,65.0,83.51827242524917,-3.9473736492974387,87.0,-5.0,84.0,83.46175040044375,-1.824652929239973,-4.773153989003805,-83.91229677376603,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.923153770292698,13.0,0.5282392026579146,0.05997726294412864,0.0,0.0,17.0,0.5429837631018017,1.0134588200987174,0.5094769330111149,15.09526384918459,Sujeto7,IMG9,masculino,ESO4,,Influencer,SI,Barrita,1
106,0.0,0.0,29.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.9946453975674632,45.0,31.87375415282395,1.877815918146596,30.0,1.0,30.0,31.893822816587317,1.4737078876748655,2.56365428383546,27.027582477014562,0.0,0.0,-7.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,6.0,11.662871233538972,392.0,3.375415282391998,18.670566550038117,0.0,3.0,-371.0,8.717363179162305,1.4372574655051586,48.71828567096788,5447.195284820263,Sujeto8,IMG9,femenino,ESO4,,Influencer,SI,Barrita,1
120,0.0,0.0,141.0,140.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0,0.8033261518374766,146.0,139.8637873754151,-0.46463063321591314,137.0,0.0,135.0,139.86302513855128,0.07103454569585141,0.5230681956172782,8.352247767684837,0.0,0.0,-54.0,-59.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.0,-36.09182789887026,-331.0,-54.11295681063126,-4.6984470370084175,-52.0,0.0,23.0,-55.078183338172096,-2.665665969089686,-15.474815538007793,-1109.1363892230756,Sujeto9,IMG9,masculino,B1,,Influencer,SI,Barrita,1
134,0.0,0.0,-103.0,-144.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-37.0,0.6560093256033377,-119.0,-125.58471760797363,-16.877120561583197,-131.0,-16.0,-88.0,-126.01325919055614,0.8992267095880798,-18.14757563697077,-881.8782574143779,0.0,0.0,23.0,-60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.0,0.0,0.0,0.0,0.0,-64.0,-2.8057227899635597,-397.0,-8.073089700996661,-64.22518515248142,16.0,-28.0,253.0,-33.14619950062365,-0.4908010693816056,-109.18505235198153,-24729.11672056602,Sujeto10,IMG9,femenino,B1,,Influencer,SI,Barrita,1
148,0.0,0.0,668.0,642.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-23.0,1.2723708639234448,620.0,656.2392026578074,-8.979039966446306,664.0,-19.0,661.0,655.4130092510869,-1.176309773693656,-10.525739061388268,-431.9726493085054,0.0,0.0,9.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,-6.44405865649286,25.0,15.867109634551525,5.89086213176453,17.0,7.0,6.0,16.047789088346292,-1.3546309294568153,5.449952488332329,190.18236001810115,Sujeto11,IMG9,femenino,B2,,Influencer,SI,Barrita,1
162,0.0,0.0,-19.0,-12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,-0.9404540157307131,-17.0,-14.461794019933564,1.7550578911932284,-12.0,4.0,-14.0,-14.443079582641872,-0.3531064246297449,1.1103551549197057,20.401827794395345,-429.0,-249.0,-24.0,51.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,41.0,10.863686256126144,471.0,-10.073089700996661,34.25664175892099,-13.0,19.0,-430.0,-3.551833732480816,0.4233827646204969,64.2611020949083,6533.648502775909,Sujeto12,IMG9,masculino,B2,,Influencer,SI,Barrita,1
9,0.0,0.0,41.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.0,0.9657038646538524,28.0,36.46511627906975,-3.1642034856127212,37.0,-3.0,43.0,36.34366437816104,0.4339833545313314,-3.6453357519537977,-37.26323109016462,0.0,0.0,17.0,-17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,-25.0,-11.451050227987698,-214.0,-0.21594684385382834,-19.17148817341968,-4.0,-13.0,313.0,-3.8663639590894263,1.3387738767669384,-37.29474771897993,-3709.626648712483,Sujeto1,IMG10,femenino,ESO1,,Marca,NO,Milka,1
23,0.0,0.0,29.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,-0.5795191873005869,31.0,35.82059800664456,2.922881645897869,43.0,6.0,23.0,35.92800356970241,-0.9243650467274859,3.2346666833291238,122.67526848489507,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.315977195761591,-29.0,-2.647840531561485,-0.971777353450836,-6.0,2.0,-11.0,-2.675692817533047,-0.7641599449045209,-0.6164280254355816,-31.43152945331758,Sujeto2,IMG10,masculino,ESO1,,Marca,NO,Milka,1
37,2.0,8.0,228.0,192.0,-0.00011416698062579993,-0.00022833396125170047,-0.0003425009418775993,-0.0004566679225034998,-0.0005708349031292997,-0.0006850018837551985,-0.0007991688643811008,-0.0009133358450069996,-0.0010275028256327007,-0.0011416698062585995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-38.0,3.439340713242358,230.0,215.76358301651993,-10.796614974923195,221.0,-11.0,228.0,215.1531654737754,1.1880700845080412,-8.380780989049732,-336.39985848638463,2.0,8.0,5.0,3.0,-0.00011416698062579993,-0.00022833396125170047,-0.0003425009418775993,-0.0004566679225034998,-0.0005708349031292997,-0.0006850018837551985,-0.0007991688643811008,-0.0009133358450069996,-0.0010275028256327007,-0.0011416698062585995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0,0.22957409265824325,-28.0,3.9346508202897326,-4.01831344962104,4.0,-1.0,14.0,3.6535197813595346,-0.5680012704494368,-7.786172886801316,-280.09077330643646,Sujeto3,IMG10,femenino,ESO2,,Marca,NO,Milka,1
51,0.0,0.0,144.0,140.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.0,0.3587482860557736,145.0,141.46511627906978,-1.199302435955449,139.0,-5.0,147.0,141.39361834954275,0.3590698356706263,-1.3131554840207187,-44.39712585953856,0.0,0.0,-10.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.25855947622413034,57.0,-0.7707641196013242,8.265295085043146,-1.0,8.0,-64.0,-0.2708490781099613,0.06168151676459749,10.588423692929151,499.92381982538825,Sujeto4,IMG10,masculino,ESO2,,Marca,NO,Milka,1
65,2.0,8.0,116.0,106.0,-0.00011416698062579993,-0.00022833396125170047,-0.0003425009418775993,-0.0004566679225034998,-0.0005708349031292997,-0.0006850018837551985,-0.0007991688643811008,-0.0009133358450069996,-0.0010275028256327007,-0.0011416698062585995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.0,0.525143872910544,112.0,111.60596408306787,-3.6817687812482323,111.0,-5.0,118.0,111.56088760325235,-0.045087643582544995,-3.802438185240728,-59.64491404698974,2.0,8.0,8.0,0.0,-0.00011416698062579993,-0.00022833396125170047,-0.0003425009418775993,-0.0004566679225034998,-0.0005708349031292997,-0.0006850018837551985,-0.0007991688643811008,-0.0009133358450069996,-0.0010275028256327007,-0.0011416698062585995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.0,0.3142238925224854,-9.0,2.82547293671729,-4.32822465936604,3.0,-4.0,23.0,2.6776083323720172,-0.3046715864933318,-5.389483243488225,-146.8211286911773,Sujeto5,IMG10,femenino,ESO3,,Marca,NO,Milka,1
79,0.0,0.0,-123.0,-128.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.0,0.0673717332341787,-142.0,-126.49833887043178,-1.6868246487346035,-132.0,-3.0,-111.0,-126.54718855204783,0.7327757012061408,-3.6480003197762194,-138.55584375448444,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.0,-2.895117552884015,7.0,0.37209302325584304,0.2747651791922916,0.0,-1.0,16.0,0.4587130517111859,0.7568583696266278,1.816890462067711,87.67797264930846,Sujeto6,IMG10,masculino,ESO3,,Marca,NO,Milka,1
