@relation X5.16_cut5
@attribute x1_bM numeric
@attribute x2_bM numeric
@attribute x3_bM numeric
@attribute x4_bM numeric
@attribute x5_bM numeric
@attribute x6_indep_bM numeric
@attribute x7_bM numeric
@attribute T3.5_indep_bA numeric
@attribute T3.6_indep_bA numeric
@attribute T3.7_indep_bA numeric
@attribute T3.8_indep_bA numeric
@attribute T3.9_indep_bA numeric
@attribute T4_indep_bA numeric
@attribute Mmean_indep_bA numeric
@attribute dE12_indep_bA numeric
@attribute bA numeric
@attribute a_bA numeric
@attribute eta_bA numeric
@attribute deltaM_bA numeric
@attribute mu3.5_indep_bA numeric
@attribute mu3.6_indep_bA numeric
@attribute mu3.7_indep_bA numeric
@attribute mu3.8_indep_bA numeric
@attribute mu3.9_indep_bA numeric
@attribute mu4_indep_bA numeric
@attribute c3.5_indep_bA numeric
@attribute c3.6_indep_bA numeric
@attribute c3.7_indep_bA numeric
@attribute c3.8_indep_bA numeric
@attribute c3.9_indep_bA numeric
@attribute c4_indep_bA numeric
@attribute class {'[0,5)','[5,Inf)'}
@data
0,0,0,0,0,0,0,0,0,0,0,-13.588889,-13.588889,2.9,61641120,0.5929381,2.095808,0.0057208966,-0.13461494,0,0,0,0,0,0,0,0,0,0,0,0,'[0,5)'
0,0,0,0,0,0,0,0,0,0,0,-23.01736,-23.01736,2.875,27802300,0.62327623,2.1682067,0.009580872,-0.17872524,0,0,0,0,0,0,0,0,0,0,0,0,'[0,5)'
0,0,0,0,0,2.7,0,0,0,0,0,-23.138193,-23.138193,2.75,22670260,0.73507226,2.397736,0.0056197927,0.03809476,0,0,0,0,0,0,0,0,0,0,0,0,'[0,5)'
0,0,0,0,0,2.7,0,0,0,0,0,-23.62014,-23.62014,2.8,22207692,0.76677793,2.5360537,0.00019381993,-0.00741601,0,0,0,0,0,0,0,0,0,0,0,0,'[0,5)'
-0.010647893,0,0,0,0,0,0,0,0,0,0,-36.94097,-36.94097,2.8,19006536,0.76677793,2.536054,0.00019381991,-0.0074164867,0,0,0,0,0,0,0,0,0,0,0,0,'[0,5)'
-0.009132504,0,0,0,0,0,0,0,0,0,0,-101.36666,-101.36666,2.8,5980628.5,0.76677793,2.536054,0.00019381991,-0.0074164867,0,0,0,0,0,0,0,0,0,0,0,0,'[0,5)'
-0.0042084455,0,0,0,0,0,0,0,0,0,0,-144.79514,-144.79514,2.875,4094691.2,0.73915666,2.4701283,0.0012365978,-0.04181981,0,0,0,0,0,0,0,0,0,0,0,0,'[0,5)'
0.0067099333,0,0,0,0,0,0,0,0,0,0,-182.56459,-182.56459,2.85,3174473.5,0.6947479,2.3250844,0.0021991257,-0.04665923,0,0,0,0,0,0,0,0,0,0,0,0,'[0,5)'
0.026385546,-0.010647893,0,0,0,0,0,0,0,0,0,-206.93056,-206.93056,2.875,2800680.8,0.8446261,2.8045876,0.0004346215,-0.020507812,0,0,0,0,0,0,0,0,0,0,0,0,'[0,5)'
0.006070614,-0.009132504,0,0,0,0,0,0,0,0,0,-168.9743,-168.9743,2.675,2729760.2,1.1995244,3.5978034,5.7884513e-06,0.0006418228,0,0,0,0,0,0,0,0,0,0,0,0,'[0,5)'
-0.010093689,-0.0042084455,0,0,0,2.9,0,0,0,0,0,-126.45695,-126.45695,2.65,6977449,1.5335991,4.4531136,0.0001938195,-0.0037009716,0,0,0,0,0,0,0,0,0,0,0,0,'[0,5)'
-0.08209169,0.0067099333,0,0,0,0,0,495.1479,495.1479,495.1479,495.1479,-99.811104,-99.811104,2.95,13764938,0.43140125,1.6176865,0.003027384,0.050158024,0,0,0,0,0,0,0,0,0,0,0,0,'[0,5)'
-0.096200585,0.026385546,-0.010647893,0,0,0,0,506.8507,506.8507,506.8507,506.8507,-67.3375,-67.3375,3.25,21449456,0.22279406,1.1443911,0.00022799808,-1.3365424,0,0,0,11.702778,11.702778,0,0,0,0,0,0,0,'[0,5)'
-0.09365642,0.006070614,-0.009132504,0,0,0,0,506.8507,506.8507,506.8507,506.8507,-62.933334,-62.933334,3.375,24248522,0.28731647,1.3900034,0.0015533082,-1.037883,0,0,0,11.702778,11.702778,0,0,0,0,0,0,0,'[0,5)'
-0.06174743,-0.010093689,-0.0042084455,0,0,0,0,506.8507,506.8507,506.8507,506.8507,-83.26736,-83.26736,3.4,17615020,0.37629044,1.7309324,1.9137285e-12,-0.7999904,0,0,0,11.702778,11.702778,0,0,0,0,0,0,0,'[0,5)'
0.0021227598,-0.08209169,0.0067099333,0,0,0,0,506.8507,506.8507,506.8507,506.8507,-117.3375,-117.3375,3.075,8424881,0.48156077,1.869875,0.0036911883,-0.082947016,0,0,0,0,0,0,0,0,0,0,0,0,'[0,5)'
-0.005642891,-0.096200585,0.026385546,-0.010647893,0,0,0,506.8507,506.8507,506.8507,506.8507,-118.406944,-118.406944,2.8,4792514.5,0.5995385,2.099018,4.7434146e-06,-0.50105643,0,0,0,0,0,0,0,0,0,0,0,0,'[0,5)'
0.009881258,-0.09365642,0.006070614,-0.009132504,0,3,0,506.8507,506.8507,506.8507,506.8507,-85.90764,-85.90764,2.8,6344761.5,0.5995385,2.099018,4.743415e-06,-0.50105643,0,0,0,0,0,0,0,0,0,0,0,0,'[0,5)'
-0.0005264282,-0.06174743,-0.010093689,-0.0042084455,0,3,0,506.8507,506.8507,506.8507,506.8507,-69.44236,-69.44236,2.775,7849150,1.1099885,3.4252708,0.0075888433,-0.08586168,0,0,0,0,0,0,0,0,0,0,0,0,'[0,5)'
0.018936038,0.0021227598,-0.08209169,0.0067099333,0,0,0,506.8507,506.8507,506.8507,506.8507,-32.67014,-32.67014,2.9,16683843,1.0034732,3.3303826,0.0014344506,-0.31885576,0,0,0,0,0,0,0,0,0,0,0,0,'[0,5)'
0.03751731,-0.005642891,-0.096200585,0.026385546,-0.010647893,0,0.0005366696,506.8507,506.8507,506.8507,506.8507,-50.385418,-50.385418,2.85,11506786,0.56796813,2.0390196,0.003291515,-0.5900247,0,0,0,0,0,0,0,0,0,0,0,0,'[0,5)'
0.0021033287,0.009881258,-0.09365642,0.006070614,-0.009132504,2.9,0.0006179097,506.8507,506.8507,506.8507,506.8507,-49.479862,-49.479862,2.8249998,14558626,0.84133637,2.765851,0.03594395,-0.28744984,0,0,0,0,0,0,0,0,0,0,0,0,'[0,5)'
0.0036917925,-0.0005264282,-0.06174743,-0.010093689,-0.0042084455,0,0.0006089587,506.8507,506.8507,506.8507,506.8507,-115.47084,-115.47084,2.9499998,6937117.5,0.68225837,2.3577151,0.0045470595,-0.055751085,0,0,0,0,0,0,0,0,0,0,0,0,'[0,5)'
-0.0054781437,0.018936038,0.0021227598,-0.08209169,0.0067099333,3.2,0.00054483075,506.8507,506.8507,506.8507,506.8507,-106.49654,-106.49654,3,6985397,0.6272484,2.2267983,0.007836412,-0.15010595,0,0,0,0,0,0,0,0,0,0,0,0,'[0,5)'
0.012732983,0.03751731,-0.005642891,-0.096200585,0.026385546,0,0.0004914825,506.8507,506.8507,506.8507,506.8507,-125.577774,-125.577774,3.05,6245965,0.81769335,2.8390179,0.0035292646,-0.07198334,0,0,0,0,0,0,0,0,0,0,0,0,'[0,5)'
0.05484104,0.0021033287,0.009881258,-0.09365642,0.006070614,2.8,0.00042305994,506.8507,506.8507,506.8507,506.8507,-128.5243,-128.5243,3.025,5641503.5,0.7644027,2.657371,0.0043775714,-0.07640195,0,0,0,0,0,0,0,0,0,0,0,0,'[0,5)'
0.087551355,0.0036917925,-0.0005264282,-0.06174743,-0.010093689,0,0.00033260885,506.8507,506.8507,506.8507,506.8507,-78.59583,-78.59583,2.8,6709916.5,0.8781865,2.803975,0.0013254626,0.0070848465,0,0,0,0,0,0,0,0,0,0,0,0,'[0,5)'
0.09223437,-0.0054781437,0.018936038,0.0021227598,-0.08209169,0,0.0002881101,506.8507,506.8507,506.8507,506.8507,-143.67014,-143.67014,2.675,2741798.8,1.71579,4.978814,0.024131449,-0.10176182,0,0,0,0,0,0,0,0,0,0,0,0,'[0,5)'
0.02228415,0.012732983,0.03751731,-0.005642891,-0.096200585,0,0.00042136235,506.8507,506.8507,506.8507,506.8507,-99.09653,-99.09653,2.6399999,6280573.5,1.8910834,5.3375125,0.0023520228,-0.022462845,0,0,0,0,0,0,0,0,0,0,0,0,'[0,5)'
0.006441593,0.05484104,0.0021033287,0.009881258,-0.09365642,3.46,0.00040464776,506.8507,506.8507,506.8507,506.8507,-101.60417,-101.60417,2.8049998,5780483.5,0.5599864,1.9158148,0.0061678183,0.038819313,0,0,0,0,0,0,0,0,0,0,0,0,'[0,5)'
-0.044637322,0.087551355,0.0036917925,-0.0005264282,-0.06174743,3.46,0.00045273663,506.8507,506.8507,506.8507,506.8507,-80.86041,-80.86041,2.8175,8214320,0.5656277,1.9387089,0.007967066,0.032464743,0,0,0,0,0,0,0,0,0,0,0,0,'[0,5)'
-0.05269599,0.09223437,-0.0054781437,0.018936038,0.0021227598,0,0.00041461637,506.8507,506.8507,506.8507,506.8507,-142.2368,-142.2368,2.8874998,4639904.5,0.59483653,2.0626433,0.0024139204,-0.007580042,0,0,0,0,0,0,0,0,0,0,0,0,'[0,5)'
0.05311179,0.02228415,0.012732983,0.03751731,-0.005642891,0,0.0002919578,506.8507,506.8507,506.8507,506.8507,-226.5104,-226.5104,2.915,2951099.8,0.6412135,2.2141902,0.00039290893,0.006875038,0,0,0,0,0,0,0,0,0,0,0,0,'[0,5)'
0.06807172,0.006441593,0.05484104,0.0021033287,0.009881258,2.63,0.00025284948,506.8507,506.8507,506.8507,506.8507,-227.64168,-227.64168,2.7075,1920254.5,1.3438709,3.9835835,0.004066013,0.01573944,0,0,0,0,0,0,0,0,0,0,0,0,'[0,5)'
0.084327936,-0.044637322,0.087551355,0.0036917925,-0.0005264282,0,0.00025284948,506.8507,506.8507,506.8507,506.8507,-251.82222,-251.82222,2.7400002,1722847.5,1.50504,4.4688625,0.0091272155,0.010735273,0,0,0,0,0,0,0,0,0,0,0,0,'[0,5)'
0.117660165,-0.05269599,0.09223437,-0.0054781437,0.018936038,0,0.00018393573,506.8507,506.8507,506.8507,506.8507,-139.83264,-139.83264,2.625,3505229.2,2.936582,8.053581,0.021874717,-0.06250167,0,0,0,0,0,0,0,0,0,0,0,0,'[0,5)'
0.08646321,0.05311179,0.02228415,0.012732983,0.03751731,0,0.0001606685,506.8507,506.8507,506.8507,506.8507,-171.98611,-171.98611,2.7525,2731733.8,0.8567666,2.703303,0.005264173,0.024761438,0,0,0,0,0,0,0,0,0,0,0,0,'[0,5)'
0.041086912,0.06807172,0.006441593,0.05484104,0.0021033287,0,0.00019037114,506.8507,506.8507,506.8507,506.8507,-179.19861,-179.19861,2.72,2803666.8,0.79548776,2.5087795,0.0045474214,0.026237488,0,0,0,0,0,0,0,0,0,0,0,0,'[0,5)'
