@relation X8.8_cut5
@attribute x1_bM numeric
@attribute x2_bM numeric
@attribute x3_bM numeric
@attribute x4_bM numeric
@attribute x5_bM numeric
@attribute x6_indep_bM numeric
@attribute x7_bM numeric
@attribute T3.5_indep_bA numeric
@attribute T3.6_indep_bA numeric
@attribute T3.7_indep_bA numeric
@attribute T3.8_indep_bA numeric
@attribute T3.9_indep_bA numeric
@attribute T4_indep_bA numeric
@attribute Mmean_indep_bA numeric
@attribute dE12_indep_bA numeric
@attribute bA numeric
@attribute a_bA numeric
@attribute eta_bA numeric
@attribute deltaM_bA numeric
@attribute mu3.5_indep_bA numeric
@attribute mu3.6_indep_bA numeric
@attribute mu3.7_indep_bA numeric
@attribute mu3.8_indep_bA numeric
@attribute mu3.9_indep_bA numeric
@attribute mu4_indep_bA numeric
@attribute c3.5_indep_bA numeric
@attribute c3.6_indep_bA numeric
@attribute c3.7_indep_bA numeric
@attribute c3.8_indep_bA numeric
@attribute c3.9_indep_bA numeric
@attribute c4_indep_bA numeric
@attribute class {'[0,5)','[5,Inf)'}
@data
0,0,0,0,0,0,0,774.6792,774.6792,972.0229,972.0229,869.2257,869.2257,3.4225,9327410,0.82866925,3.1811736,0.0021333613,-0.038894176,0,0,0,0,0,0,0,0,0,0,0,0,'[0,5)'
0,0,0,0,0,0,0,774.6792,774.6792,972.0229,972.0229,869.2257,869.2257,3.47,24185546,1.0698551,4.05745,0.00032939788,0.0074772835,0,0,0,0,0,0,0,0,0,0,0,0,'[0,5)'
0,0,0,0,0,2.98,0,774.6792,774.6792,972.0229,972.0229,869.2257,869.2257,3.3825002,20297262,0.7348403,2.83065,0.0019872268,-0.052061796,0,0,0,0,0,0,0,0,0,0,0,0,'[0,5)'
0,0,0,0,0,0,0,774.6792,774.6792,972.0229,972.0229,869.2257,869.2257,3.0974998,10090372,0.7005639,2.5150497,0.004282839,-0.090036154,0,0,0,0,0,0,0,0,0,0,0,0,'[0,5)'
-0.008591235,0,0,0,0,0,0,774.6792,774.6792,972.0229,972.0229,869.2257,869.2257,3.0225,7570524.5,0.8550213,2.929355,0.015412069,-0.17606068,0,0,0,0,0,0,0,0,0,0,0,0,'[0,5)'
-0.030051589,0,0,0,0,0,0,774.6792,774.6792,972.0229,972.0229,869.2257,869.2257,3.0325,32383496,0.84322083,2.90212,0.01226128,-0.15170836,0,0,0,0,0,0,0,0,0,0,0,0,'[0,5)'
-0.030974329,0,0,0,0,0,0,612.7292,612.7292,1100.5326,1100.5326,1206.3513,1441.7285,3.485,23582312,0.27623126,1.3077188,0.004504428,0.055855274,0,0,0,0,0,0,0,0,0,0,0,0,'[0,5)'
-0.03963846,0,0,0,0,0,0,612.7292,612.7292,1100.5326,1100.5326,1206.3513,1441.7285,3.5149999,26620706,0.28524283,1.3476813,0.0053598504,0.06531906,0,0,0,0,0,0,0,0,0,0,0,0,'[0,5)'
-0.029650927,-0.008591235,0,0,0,3.7,0,646.2451,646.2451,646.2451,1100.5326,1206.3513,1441.7285,3.6399999,45664984,0.3046804,1.4540895,0.00045430916,0.017492294,0,0,0,0,0,0,0,0,0,0,0,0,'[0,5)'
0.024066985,-0.030051589,0,0,0,3.7,0,646.2451,646.2451,646.2451,1100.5326,1206.3513,1441.7285,3.62,53492400,0.30114105,1.4351835,0.00018021853,0.024181843,0,0,0,0,0,0,0,0,0,0,0,0,'[0,5)'
0.016851723,-0.030974329,0,0,0,3.7,0,646.2451,646.2451,646.2451,1100.5326,1206.3513,1441.7285,3.105,34470212,0.57129145,2.1189127,0.0016612677,-0.008987188,0,0,0,0,0,0,0,0,0,0,0,0,'[0,5)'
0.018424094,-0.03963846,0,0,0,3.7,0,646.2451,646.2451,646.2451,1100.5326,1206.3513,1441.7285,3.2374997,343602784,0.6216815,2.3577466,0.0066502136,-0.092531204,0,0,0,0,0,0,0,0,0,0,0,0,'[0,5)'
0.018998146,-0.029650927,-0.008591235,0,0,0,0,646.2451,646.2451,646.2451,1100.5326,1206.3513,1441.7285,3.09,2863729.2,0.8873091,3.0868378,0.017565062,-0.16887546,0,0,0,0,0,0,0,0,0,0,0,0,'[0,5)'
-0.0016888976,0.024066985,-0.030051589,0,0,0,0,646.2451,646.2451,646.2451,1100.5326,1206.3513,1441.7285,2.965,2288310.2,0.85284925,2.8737512,0.0050532524,-0.05958867,0,0,0,0,0,0,0,0,0,0,0,0,'[0,5)'
-0.009932339,0.016851723,-0.030974329,0,0,0,0,646.2451,646.2451,646.2451,1100.5326,1206.3513,1441.7285,2.975,2533163,0.89292985,3.0015192,0.0036596667,-0.05142784,0,0,0,0,0,0,0,0,0,0,0,0,'[0,5)'
0.003461063,0.018424094,-0.03963846,0,0,0,0,646.2451,646.2451,646.2451,1100.5326,1206.3513,1441.7285,2.9925,1141962.8,0.8213157,2.8028398,0.0022214467,-0.032621622,0,0,0,0,0,0,0,0,0,0,0,0,'[0,5)'
0.004281819,0.018998146,-0.029650927,-0.008591235,0,0,0,646.2451,646.2451,646.2451,1100.5326,1206.3513,1441.7285,2.8875003,2039516.6,0.7310779,2.4560404,0.009931313,0.02052188,0,0,0,0,0,0,0,0,0,0,0,0,'[0,5)'
0.003386259,-0.0016888976,0.024066985,-0.030051589,0,0,0,646.2451,646.2451,646.2451,1100.5326,1206.3513,1441.7285,3.025,2284286.8,0.70464694,2.4766097,0.008830632,-0.13468146,0,0,0,0,0,0,0,0,0,0,0,0,'[0,5)'
0.006584406,-0.009932339,0.016851723,-0.030974329,0,3.05,0,646.2451,646.2451,646.2451,1100.5326,1206.3513,1441.7285,3.095,4070988.8,0.78556067,2.7763631,0.011700409,-0.15424395,0,0,0,0,0,0,0,0,0,0,0,0,'[0,5)'
0.019869268,0.003461063,0.018424094,-0.03963846,0,0,0,914.0236,914.0236,914.0236,1308.4896,1206.3513,1441.7285,3.2,12480218,0.55796665,2.1305463,0.0011053396,-0.018411636,0,0,0,0,0,0,0,0,0,0,0,0,'[0,5)'
0.015485287,0.004281819,0.018998146,-0.029650927,-0.008591235,0,0.014222882,914.0236,914.0236,914.0236,1308.4896,1206.3513,1441.7285,3.2525,11133696,0.6592213,2.4891703,0.000795928,0.024074793,0,0,0,0,0,0,0,0,0,0,0,0,'[0,5)'
0.01860267,0.003386259,-0.0016888976,0.024066985,-0.030051589,0,0.013180675,914.0236,914.0236,914.0236,1308.4896,1206.3513,1441.7285,3.2125,2041804.1,0.6216207,2.3420093,0.0060979673,0.032414198,0,0,0,0,0,0,0,0,0,0,0,0,'[0,5)'
0.036173165,0.006584406,-0.009932339,0.016851723,-0.030974329,0,0.012244275,914.0236,914.0236,914.0236,1308.4896,1206.3513,1441.7285,3.0849998,1171513.2,0.48875335,1.8528569,0.0010626668,0.009014368,0,0,0,0,0,0,0,0,0,0,0,0,'[0,5)'
0.024464607,0.019869268,0.003461063,0.018424094,-0.03963846,0,0.0116664665,914.0236,914.0236,914.0236,1308.4896,1206.3513,1441.7285,2.96,798234.7,0.7593629,2.5927668,0.007581418,-0.114397526,0,0,0,0,0,0,0,0,0,0,0,0,'[0,5)'
0.04314947,0.015485287,0.004281819,0.018998146,-0.029650927,0,0.010556968,914.0236,914.0236,914.0236,1308.4896,1206.3513,1441.7285,3.0649998,898565.9,0.57577115,2.1097915,0.024282977,-0.34428835,0,0,0,0,0,0,0,0,0,0,0,0,'[0,5)'
0.01862365,0.01860267,0.003386259,-0.0016888976,0.024066985,0,0.011589552,914.0236,914.0236,914.0236,1308.4896,1206.3513,1441.7285,3.0875,1504478.6,0.5293481,1.9794149,0.029918775,-0.4193449,0,0,0,0,0,0,0,0,0,0,0,0,'[0,5)'
0.006997943,0.036173165,0.006584406,-0.009932339,0.016851723,0,0.0116664665,914.0236,914.0236,914.0236,1308.4896,1206.3513,1441.7285,3.2875,4086119.5,3.1861913,10.819656,0.022524804,-0.055796385,0,0,0,0,0,0,0,0,0,0,0,0,'[0,5)'
0.022560239,0.024464607,0.019869268,0.003461063,0.018424094,2.55,0.009982942,914.0236,914.0236,914.0236,1308.4896,1206.3513,1441.7285,3.1000001,6224418.5,0.5328052,1.9967488,0.028743492,-0.40761518,0,0,0,0,0,0,0,0,0,0,0,0,'[0,5)'
-0.0011972785,0.04314947,0.015485287,0.004281819,0.018998146,0,0.010644643,914.0236,914.0236,914.0236,1308.4896,1206.3513,1441.7285,2.9,5087228.5,0.56643486,1.9877139,0.009921522,-0.16916609,0,0,0,0,0,0,0,0,0,0,0,0,'[0,5)'
0.019356847,0.01862365,0.01860267,0.003386259,-0.0016888976,0,0.010139023,914.0236,914.0236,914.0236,1308.4896,1206.3513,1441.7285,2.8775,5312353,0.6108941,2.1029005,0.0061562373,-0.10233259,0,0,0,0,0,0,0,0,0,0,0,0,'[0,5)'
0.027304292,0.006997943,0.036173165,0.006584406,-0.009932339,2.95,0.009661095,914.0236,914.0236,914.0236,1308.4896,1206.3513,1441.7285,2.78,5984711,0.8542476,2.7198613,0.0069159716,-0.0839262,0,0,0,0,0,0,0,0,0,0,0,0,'[0,5)'
0.012307823,0.022560239,0.024464607,0.019869268,0.003461063,0,0.009169278,914.0236,914.0236,914.0236,1308.4896,1206.3513,1441.7285,2.8075,3252462.8,0.95384485,3.0229723,0.0043932158,-0.06924963,0,0,0,0,0,0,0,0,0,0,0,0,'[0,5)'
0.033488214,-0.0011972785,0.04314947,0.015485287,0.004281819,0,0.008446295,914.0236,914.0236,914.0236,1308.4896,1206.3513,1441.7285,2.875,3882359.5,1.3438641,4.208662,0.0021272493,-0.031761885,0,0,0,0,0,0,0,0,0,0,0,0,'[0,5)'
0.052699745,0.019356847,0.01862365,0.01860267,0.003386259,0,0.0070452564,914.0236,914.0236,914.0236,1308.4896,1206.3513,1441.7285,2.78,4440911,2.0820873,6.1332555,0.00023994235,0.0042755604,0,0,0,0,0,0,0,0,0,0,0,0,'[0,5)'
0.058739603,0.027304292,0.006997943,0.036173165,0.006584406,0,0.0064388397,914.0236,914.0236,914.0236,1308.4896,1206.3513,1441.7285,2.6775,576540.3,2.3263876,6.573956,0.0074172947,-0.035821438,0,0,0,0,0,0,0,0,0,0,0,0,'[0,5)'
0.05812019,0.012307823,0.022560239,0.024464607,0.019869268,0,0.006137261,914.0236,914.0236,914.0236,1308.4896,1206.3513,1441.7285,2.69,728164.25,2.1224675,6.0544906,0.01741518,-0.062571526,0,0,0,0,0,0,0,0,0,0,0,0,'[0,5)'
