CAMPAÑA,PROVINCIA,MUNICIPIO,CODPARCELA,_05_Comarca,_07_Zona_homogénea,_01_Superf_cultivada_en_la_Parcela_Agrícola_ha_,_02_Pendiente_,_03_Textura_del_Suelo,_04_Secano_Regadío,_08_Utilización_de_cubierta_vegetal,_01_Variedad,_02_Clon,_04_Patrón,_06_Formas_de_Poda,_07_Marco_m_x_m_,_08_Densidad_Plantas_ha_,_09_Sistemas_de_Conducción
2016,Córdoba,Moriles,004-00004-04,CAMPIÑA ALTA,,,,,Secano,,Pedro Ximenez,,,Vaso o redondo,,,Sin  apoyos
2016,Córdoba,Puente Genil,007-00158-01,CAMPIÑA ALTA - II,,"1,43",0,Arenoso,Regadio,No,Pedro Ximenez,,110 Richter,Cabeza,"1,8 X 1.8",2700,Sin  apoyos
2016,Córdoba,Puente Genil,022-00141-01,CAMPIÑA ALTA - II,,,,,Regadio,,Tempranillo,,,Cordón doble,,,Espaldera vertical
2016,Córdoba,Santaella,ECB SANT,CAMPIÑA BAJA,SIN DEFINIR,0.58,0.,SIN DEFINIR,Secano,NO,Pedro Ximenez,,SIN DEFINIR,,,0.00,
2016,Huelva,Almonte,012-00085-01,CONDADO LITORAL,,,0,,,No,Zalema,,,,,,
2016,Huelva,Almonte,023-00091-01,CONDADO LITORAL,,,,,,,Zalema,,,,,,
2016,Huelva,Gibraleon,001-00099-01,COSTA - II,,,,,,,Palomino Fino,,,,,,
2016,Huelva,Trigueros,016-00088-01,CONDADO CAMPIÑA,,,,,,,,,,,,,
2016,Málaga,Almachar,001-00220-02-01,VELEZ-MALAGA,,"0,19",,,Secano,,Moscatel de Alejandría,,,,,,Cabeza o vaso
2016,Málaga,Almachar,005-00455-01-01,VELEZ-MALAGA,,"0,26",,,Secano,,Moscatel de Alejandría,,,,,,Cabeza o vaso
2016,Málaga,Almachar,005-00715-01-01,VELEZ-MALAGA,,"1,20",,,Secano,Si,Moscatel de Alejandría,,,,,,Cabeza o vaso
2016,Málaga,Almachar,005-00715-01-02,VELEZ-MALAGA,,"1,1",,,Secano,,Moscatel de Alejandría,,,,,,Cabeza o vaso
2016,Málaga,Borge (El),003-00171-01-01,VELEZ-MALAGA,,"1,29",,,Secano,,Moscatel de Alejandría,,,,,,Cabeza o vaso
2016,Málaga,Borge (El),005-00196-01-01,VELEZ-MALAGA,,"0,18",,,Secano,,Moscatel de Alejandría,,,,,,Cabeza o vaso
2016,Málaga,Borge (El),005-00399-03-01,VELEZ-MALAGA,,"0,16",,,Secano,,Moscatel de Alejandría,,,,,,Cabeza o vaso
2016,Málaga,Borge (El),007-00045-02-01,VELEZ-MALAGA,,"0,41",,,Secano,,Moscatel de Alejandría,,,,,,Cabeza o vaso
2016,Málaga,Mollina,009-00002-18-02,NORTE O ANTEQUERA,,"1,03",0,,Riego de apoyo,Si,Moscatel Grano Menudo,,140 Ruggeri,,3 x 1.5,,Espaldera vertical
2016,Málaga,Mollina,047-00002-03-01,NORTE O ANTEQUERA,,"1,66",0,,Secano,No,Pedro Ximenez,,,,,,Espaldera vertical
