11	R-HSA-1059683
196	R-HSA-109581
732	R-HSA-109582
53	R-HSA-109606
2	R-HSA-109703
36	R-HSA-109704
9	R-HSA-110056
16	R-HSA-110312
39	R-HSA-110313
30	R-HSA-110314
19	R-HSA-110320
63	R-HSA-110328
63	R-HSA-110329
58	R-HSA-110330
58	R-HSA-110331
7	R-HSA-110357
8	R-HSA-110362
25	R-HSA-110373
4	R-HSA-110381
10	R-HSA-111367
3	R-HSA-111446
17	R-HSA-111447
5	R-HSA-111448
2	R-HSA-111452
9	R-HSA-111453
5	R-HSA-111457
12	R-HSA-111458
6	R-HSA-111459
14	R-HSA-111461
8	R-HSA-111463
8	R-HSA-111464
40	R-HSA-111465
8	R-HSA-111469
16	R-HSA-111471
92	R-HSA-111885
21	R-HSA-111931
10	R-HSA-111932
36	R-HSA-111933
4	R-HSA-111957
2	R-HSA-111995
38	R-HSA-111996
36	R-HSA-111997
55	R-HSA-112040
54	R-HSA-112043
1	R-HSA-112122
4	R-HSA-112126
5	R-HSA-112303
5	R-HSA-112307
13	R-HSA-112308
50	R-HSA-112310
11	R-HSA-112311
4	R-HSA-112313
210	R-HSA-112314
276	R-HSA-112315
426	R-HSA-112316
74	R-HSA-112382
41	R-HSA-112399
25	R-HSA-112409
8	R-HSA-112411
7	R-HSA-112412
46	R-HSA-113418
13	R-HSA-113501
9	R-HSA-113507
22	R-HSA-113510
2	R-HSA-114294
32	R-HSA-114452
28	R-HSA-114508
5	R-HSA-114516
42	R-HSA-114604
134	R-HSA-114608
101	R-HSA-1168372
86	R-HSA-1169091
6	R-HSA-1169092
72	R-HSA-1169408
80	R-HSA-1169410
14	R-HSA-1170546
20	R-HSA-1181150
30	R-HSA-1187000
81	R-HSA-1221632
1	R-HSA-1222449
1	R-HSA-1222499
43	R-HSA-1222556
59	R-HSA-1226099
49	R-HSA-1227986
11	R-HSA-1234158
93	R-HSA-1234174
84	R-HSA-1234176
19	R-HSA-1236382
57	R-HSA-1236394
8	R-HSA-1236973
153	R-HSA-1236974
169	R-HSA-1236975
46	R-HSA-1236977
68	R-HSA-1236978
13	R-HSA-1237044
6	R-HSA-1237112
9	R-HSA-1247673
20	R-HSA-1250196
9	R-HSA-1250342
13	R-HSA-1250347
4	R-HSA-1251932
32	R-HSA-1251985
8	R-HSA-1253288
289	R-HSA-1257604
36	R-HSA-1266695
1190	R-HSA-1266738
69	R-HSA-1268020
1002	R-HSA-1280215
1162	R-HSA-1280218
14	R-HSA-1295596
4	R-HSA-1296025
32	R-HSA-1296041
9	R-HSA-1296052
4	R-HSA-1296053
32	R-HSA-1296059
5	R-HSA-1296061
38	R-HSA-1296065
3	R-HSA-1296067
107	R-HSA-1296071
43	R-HSA-1296072
12	R-HSA-1296346
1	R-HSA-1299287
3	R-HSA-1299308
2	R-HSA-1299316
1	R-HSA-1299344
2	R-HSA-1299361
3	R-HSA-1299503
10	R-HSA-1300642
7	R-HSA-1300645
4	R-HSA-1306955
3	R-HSA-1307965
13	R-HSA-1358803
19	R-HSA-1362277
16	R-HSA-1362300
11	R-HSA-1362409
3	R-HSA-1368071
18	R-HSA-1368082
27	R-HSA-1368108
4	R-HSA-1369007
18	R-HSA-1369062
16	R-HSA-139853
3	R-HSA-139910
9	R-HSA-139915
3	R-HSA-140179
1	R-HSA-140180
13	R-HSA-140342
15	R-HSA-140534
5	R-HSA-140834
22	R-HSA-140837
23	R-HSA-140875
40	R-HSA-140877
2	R-HSA-141333
1	R-HSA-141334
20	R-HSA-141405
96	R-HSA-141424
20	R-HSA-141430
96	R-HSA-141444
182	R-HSA-1428517
2227	R-HSA-1430728
40	R-HSA-1433557
12	R-HSA-1433559
11	R-HSA-1433617
71	R-HSA-1442490
73	R-HSA-1445148
63	R-HSA-1461957
79	R-HSA-1461973
16	R-HSA-1462054
10	R-HSA-1474151
156	R-HSA-1474165
148	R-HSA-1474228
314	R-HSA-1474244
94	R-HSA-1474290
12	R-HSA-1475029
13	R-HSA-1480926
28	R-HSA-1482788
6	R-HSA-1482798
23	R-HSA-1482801
30	R-HSA-1482839
8	R-HSA-1482883
19	R-HSA-1482922
19	R-HSA-1482925
1	R-HSA-1483076
2	R-HSA-1483101
9	R-HSA-1483115
9	R-HSA-1483148
2	R-HSA-1483152
47	R-HSA-1483166
40	R-HSA-1483191
1	R-HSA-1483196
153	R-HSA-1483206
13	R-HSA-1483213
5	R-HSA-1483226
5	R-HSA-1483248
51	R-HSA-1483249
86	R-HSA-1483255
238	R-HSA-1483257
42	R-HSA-1489509
126	R-HSA-1500620
129	R-HSA-1500931
13	R-HSA-1502540
27	R-HSA-1538133
112	R-HSA-156580
14	R-HSA-156581
2	R-HSA-156582
23	R-HSA-156584
9	R-HSA-156587
27	R-HSA-156588
38	R-HSA-156590
44	R-HSA-1566948
6	R-HSA-1566977
16	R-HSA-156711
123	R-HSA-156827
106	R-HSA-156842
100	R-HSA-156902
257	R-HSA-157118
86	R-HSA-157579
51	R-HSA-157858
96	R-HSA-15869
93	R-HSA-1592230
31	R-HSA-159227
32	R-HSA-159230
39	R-HSA-159231
40	R-HSA-159234
77	R-HSA-159236
37	R-HSA-1592389
17	R-HSA-159418
9	R-HSA-159424
10	R-HSA-159740
9	R-HSA-159763
10	R-HSA-159782
11	R-HSA-159854
23	R-HSA-1606322
5	R-HSA-1606341
6	R-HSA-1614517
14	R-HSA-1614558
3	R-HSA-1614603
28	R-HSA-1614635
2982	R-HSA-162582
1	R-HSA-162585
166	R-HSA-162587
30	R-HSA-162588
1	R-HSA-162589
9	R-HSA-162592
14	R-HSA-162594
153	R-HSA-162599
13	R-HSA-162658
3	R-HSA-162699
18	R-HSA-162710
7	R-HSA-162791
265	R-HSA-162906
145	R-HSA-162909
126	R-HSA-1630316
109	R-HSA-163125
131	R-HSA-163200
18	R-HSA-163210
3	R-HSA-163282
96	R-HSA-1632852
1	R-HSA-163316
5	R-HSA-163358
36	R-HSA-163359
24	R-HSA-163560
19	R-HSA-163615
9	R-HSA-163680
119	R-HSA-163685
2	R-HSA-163754
14	R-HSA-163765
7	R-HSA-163767
34	R-HSA-1638074
57	R-HSA-1638091
39	R-HSA-163841
695	R-HSA-1640170
1146	R-HSA-1643685
25	R-HSA-1643713
19	R-HSA-164378
1	R-HSA-164516
1	R-HSA-164525
7	R-HSA-164843
22	R-HSA-164938
2	R-HSA-164939
11	R-HSA-164940
7	R-HSA-164944
28	R-HSA-164952
32	R-HSA-165054
72	R-HSA-1650814
4	R-HSA-165158
39	R-HSA-165159
2	R-HSA-165160
3	R-HSA-165181
54	R-HSA-1655829
136	R-HSA-166016
2	R-HSA-166020
55	R-HSA-1660499
18	R-HSA-1660514
16	R-HSA-1660516
11	R-HSA-1660517
102	R-HSA-166058
43	R-HSA-1660661
51	R-HSA-1660662
106	R-HSA-166166
5	R-HSA-166187
22	R-HSA-166208
13	R-HSA-1663150
99	R-HSA-166520
163	R-HSA-166658
7	R-HSA-166662
127	R-HSA-166663
8	R-HSA-166665
101	R-HSA-166786
3	R-HSA-167021
19	R-HSA-167044
4	R-HSA-167060
61	R-HSA-167152
46	R-HSA-167158
35	R-HSA-167160
57	R-HSA-167161
57	R-HSA-167162
59	R-HSA-167169
88	R-HSA-167172
59	R-HSA-167200
39	R-HSA-167238
28	R-HSA-167242
39	R-HSA-167243
59	R-HSA-167246
41	R-HSA-167287
41	R-HSA-167290
9	R-HSA-167590
5	R-HSA-167826
5	R-HSA-167827
13	R-HSA-1679131
104	R-HSA-168138
92	R-HSA-168142
102	R-HSA-168164
92	R-HSA-168176
105	R-HSA-168179
100	R-HSA-168181
102	R-HSA-168188
1352	R-HSA-168249
40	R-HSA-168253
168	R-HSA-168254
157	R-HSA-168255
2715	R-HSA-168256
3	R-HSA-168268
29	R-HSA-168271
143	R-HSA-168273
34	R-HSA-168274
2	R-HSA-168275
39	R-HSA-168276
1	R-HSA-168277
2	R-HSA-168315
3	R-HSA-168316
41	R-HSA-168325
5	R-HSA-168330
29	R-HSA-168333
35	R-HSA-168638
54	R-HSA-168643
10	R-HSA-168799
162	R-HSA-168898
20	R-HSA-168927
86	R-HSA-168928
1	R-HSA-169131
12	R-HSA-169893
71	R-HSA-169911
3	R-HSA-170145
11	R-HSA-170660
15	R-HSA-170670
29	R-HSA-170822
73	R-HSA-170834
9	R-HSA-170968
7	R-HSA-170984
13	R-HSA-171007
1	R-HSA-171286
55	R-HSA-171306
7	R-HSA-171319
4	R-HSA-173107
3	R-HSA-173599
94	R-HSA-173623
11	R-HSA-173736
23	R-HSA-174048
81	R-HSA-174084
73	R-HSA-174113
104	R-HSA-174143
85	R-HSA-174154
90	R-HSA-174178
90	R-HSA-174184
6	R-HSA-174362
13	R-HSA-174403
14	R-HSA-174411
11	R-HSA-174414
24	R-HSA-174417
8	R-HSA-174430
10	R-HSA-174437
15	R-HSA-174490
15	R-HSA-174495
24	R-HSA-174577
67	R-HSA-174824
17	R-HSA-175474
3	R-HSA-175567
34	R-HSA-176033
2	R-HSA-176034
38	R-HSA-176187
19	R-HSA-176407
98	R-HSA-176408
93	R-HSA-176409
19	R-HSA-176412
6	R-HSA-176417
94	R-HSA-176814
12	R-HSA-176974
8	R-HSA-177128
6	R-HSA-177135
2	R-HSA-177162
34	R-HSA-177243
14	R-HSA-177504
3	R-HSA-177539
50	R-HSA-177929
51	R-HSA-1793185
25	R-HSA-179409
91	R-HSA-179419
13	R-HSA-179812
123	R-HSA-1799339
25	R-HSA-180024
16	R-HSA-180292
14	R-HSA-180336
70	R-HSA-180534
71	R-HSA-180585
4	R-HSA-180689
31	R-HSA-180746
31	R-HSA-180786
3	R-HSA-180897
31	R-HSA-180910
19	R-HSA-1810476
17	R-HSA-181429
17	R-HSA-181430
14	R-HSA-181431
105	R-HSA-181438
7	R-HSA-182218
31	R-HSA-182971
16	R-HSA-1834941
67	R-HSA-1834949
16	R-HSA-1839117
8	R-HSA-1839122
26	R-HSA-1839124
30	R-HSA-1839126
1	R-HSA-1839128
9	R-HSA-1839130
313	R-HSA-1852241
11	R-HSA-1855167
14	R-HSA-1855183
4	R-HSA-1855191
29	R-HSA-1855204
1	R-HSA-1855231
42	R-HSA-186712
28	R-HSA-186763
56	R-HSA-186797
6	R-HSA-187015
5	R-HSA-187024
78	R-HSA-187037
2	R-HSA-187042
78	R-HSA-187577
31	R-HSA-187687
5	R-HSA-187706
11	R-HSA-189085
23	R-HSA-189200
17	R-HSA-189445
11	R-HSA-189451
6	R-HSA-189483
79	R-HSA-190236
9	R-HSA-190239
16	R-HSA-190241
11	R-HSA-190242
12	R-HSA-190322
5	R-HSA-190370
4	R-HSA-190371
9	R-HSA-190372
8	R-HSA-190373
1	R-HSA-190374
9	R-HSA-190375
9	R-HSA-190377
3	R-HSA-190704
3	R-HSA-190827
49	R-HSA-190828
20	R-HSA-190840
38	R-HSA-190861
21	R-HSA-190872
12	R-HSA-190873
9	R-HSA-1912399
98	R-HSA-1912408
21	R-HSA-1912420
114	R-HSA-1912422
24	R-HSA-191273
3	R-HSA-191650
54	R-HSA-191859
34	R-HSA-192105
6	R-HSA-192456
100	R-HSA-192823
2	R-HSA-192905
11	R-HSA-193048
6	R-HSA-193144
24	R-HSA-193368
9	R-HSA-193634
16	R-HSA-193639
64	R-HSA-193648
6	R-HSA-193670
3	R-HSA-193681
11	R-HSA-193692
10	R-HSA-193697
103	R-HSA-193704
14	R-HSA-193775
