@relation 'EQAgen:tokyo-short-BIG(12/02/2012-01:41-->unspecified_prediction-horizon:7days)-weka.filters.unsupervised.attribute.Remove-R1-2,10-16,104-214,216-227-weka.filters.unsupervised.attribute.RemoveByName-E^event|time|.*_indep_bA|.*2013.*|.*bA.*|continuousClass|class[^5].*|class5..$'

@attribute x1_bM numeric
@attribute x2_bM numeric
@attribute x3_bM numeric
@attribute x4_bM numeric
@attribute x5_bM numeric
@attribute x6_indep_bM numeric
@attribute x7_bM numeric
@attribute T3.6_indep_bM numeric
@attribute T3.7_indep_bM numeric
@attribute T3.8_indep_bM numeric
@attribute T3.9_indep_bM numeric
@attribute T4_indep_bM numeric
@attribute T4.1_indep_bM numeric
@attribute T4.2_indep_bM numeric
@attribute T4.3_indep_bM numeric
@attribute T4.4_indep_bM numeric
@attribute T4.5_indep_bM numeric
@attribute T4.6_indep_bM numeric
@attribute T4.7_indep_bM numeric
@attribute T4.8_indep_bM numeric
@attribute T4.9_indep_bM numeric
@attribute T5_indep_bM numeric
@attribute T5.1_indep_bM numeric
@attribute T5.2_indep_bM numeric
@attribute T5.3_indep_bM numeric
@attribute T5.4_indep_bM numeric
@attribute T5.5_indep_bM numeric
@attribute T5.6_indep_bM numeric
@attribute T5.7_indep_bM numeric
@attribute T5.8_indep_bM numeric
@attribute T5.9_indep_bM numeric
@attribute T6_indep_bM numeric
@attribute T6.1_indep_bM numeric
@attribute T6.2_indep_bM numeric
@attribute Mmean_indep_bM numeric
@attribute dE12_indep_bM numeric
@attribute bM numeric
@attribute a_bM numeric
@attribute eta_bM numeric
@attribute deltaM_bM numeric
@attribute mu3.6_indep_bM numeric
@attribute mu3.7_indep_bM numeric
@attribute mu3.8_indep_bM numeric
@attribute mu3.9_indep_bM numeric
@attribute mu4_indep_bM numeric
@attribute mu4.1_indep_bM numeric
@attribute mu4.2_indep_bM numeric
@attribute mu4.3_indep_bM numeric
@attribute mu4.4_indep_bM numeric
@attribute mu4.5_indep_bM numeric
@attribute mu4.6_indep_bM numeric
@attribute mu4.7_indep_bM numeric
@attribute mu4.8_indep_bM numeric
@attribute mu4.9_indep_bM numeric
@attribute mu5_indep_bM numeric
@attribute mu5.1_indep_bM numeric
@attribute mu5.2_indep_bM numeric
@attribute mu5.3_indep_bM numeric
@attribute mu5.4_indep_bM numeric
@attribute mu5.5_indep_bM numeric
@attribute mu5.6_indep_bM numeric
@attribute mu5.7_indep_bM numeric
@attribute mu5.8_indep_bM numeric
@attribute mu5.9_indep_bM numeric
@attribute mu6_indep_bM numeric
@attribute mu6.1_indep_bM numeric
@attribute mu6.2_indep_bM numeric
@attribute c3.6_indep_bM numeric
@attribute c3.7_indep_bM numeric
@attribute c3.8_indep_bM numeric
@attribute c3.9_indep_bM numeric
@attribute c4_indep_bM numeric
@attribute c4.1_indep_bM numeric
@attribute c4.2_indep_bM numeric
@attribute c4.3_indep_bM numeric
@attribute c4.4_indep_bM numeric
@attribute c4.5_indep_bM numeric
@attribute c4.6_indep_bM numeric
@attribute c4.7_indep_bM numeric
@attribute c4.8_indep_bM numeric
@attribute c4.9_indep_bM numeric
@attribute c5_indep_bM numeric
@attribute c5.1_indep_bM numeric
@attribute c5.2_indep_bM numeric
@attribute c5.3_indep_bM numeric
@attribute c5.4_indep_bM numeric
@attribute c5.5_indep_bM numeric
@attribute c5.6_indep_bM numeric
@attribute c5.7_indep_bM numeric
@attribute c5.8_indep_bM numeric
@attribute c5.9_indep_bM numeric
@attribute c6_indep_bM numeric
@attribute c6.1_indep_bM numeric
@attribute c6.2_indep_bM numeric
@attribute class5 {0,1}

@data
0.000654,0.002903,-0.001282,-0.001621,-0.003636,4.7,0.158381,3.0375,3.0375,3.0375,3.0375,3.0375,3.0375,3.0375,5.075,5.075,4.511111,4.511111,9.861111,21.822918,20.066668,45.272915,96.829865,96.829865,140.44098,304.02014,306.5007,317.9257,317.9257,347.80417,83.26805,83.26805,0,-3.315972,4.425,3230094340,0.266766,2.567885,0.078911,-3.825995,0,0,0,0,0,0,0,0,0.002083,0.002083,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
-0.004214,0.003574,-0.001938,0.000649,-0.003942,4.9,0.162321,1.45625,1.45625,1.45625,1.45625,1.45625,1.45625,1.45625,3.315972,3.315972,7.140972,7.140972,11.539584,13.177083,31.606249,45.272915,96.829865,96.829865,140.44098,304.02014,306.5007,317.9257,317.9257,347.80417,83.26805,83.26805,0,-1.45625,4.475,14172999700,0.263209,2.554987,0.079242,-3.907074,0,0,0,0,0,0,0,0,0.002083,0.002083,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-0.005828,0.004874,-0.001928,0,-0.001957,5.6,0.163393,0.280556,0.280556,0.280556,0.280556,0.280556,0.280556,0.280556,0.280556,0.280556,5.353472,5.353472,9.783334,11.539584,13.177083,51.02361,56.812496,56.812496,56.812496,56.812496,352.9368,352.9368,317.9257,347.80417,83.26805,83.26805,0,-2.498611,4.825,8707290100,0.262255,2.552074,0.080516,-3.931264,0,0,0,0,0,0,0,0,0.002083,0.002083,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-0.005218,0.004256,0.000963,-0.000963,-0.00097,5.6,0.161963,2.496528,2.496528,2.496528,2.496528,2.496528,2.496528,2.496528,2.496528,2.496528,5.534028,5.534028,9.783334,11.539584,13.177083,51.02361,56.812496,56.812496,56.812496,56.812496,352.9368,352.9368,317.9257,347.80417,83.26805,83.26805,0,-4.340972,4.875,5080633300,0.263528,2.561034,0.081286,-3.918256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-0.003238,0.000654,0.002903,-0.001282,-0.001621,5.6,0.161963,4.0625,4.0625,4.0625,4.0625,4.0625,4.0625,4.0625,4.0625,4.0625,4.0625,5.534028,9.783334,11.539584,13.177083,51.02361,56.812496,56.812496,56.812496,56.812496,352.9368,352.9368,317.9257,347.80417,83.26805,83.26805,0,-6.428473,4.9,3358809600,0.263528,2.558287,0.081587,-3.90783,0,0,0,0,0,0,0,0,0,0,1.844444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0.002903,-0.004214,0.003574,-0.001938,0.000649,5.6,0.159098,6.428473,6.428473,6.428473,6.428473,6.428473,6.428473,6.428473,4.0625,4.0625,4.0625,5.534028,9.783334,11.539584,13.177083,51.02361,56.812496,56.812496,56.812496,56.812496,352.9368,352.9368,317.9257,347.80417,83.26805,83.26805,0,-6.774305,4.725,2798169860,0.266112,2.570295,0.08108,-3.858706,0,0,0,0,0,0,0,0,0,0,1.844444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0.004511,-0.005828,0.004874,-0.001928,0,4.6,0.158381,4.55625,4.55625,4.55625,4.55625,4.55625,4.55625,4.55625,4.0625,4.0625,4.0625,5.534028,9.783334,11.539584,13.177083,51.02361,56.812496,56.812496,56.812496,56.812496,352.9368,352.9368,317.9257,347.80417,83.26805,83.26805,0,-5.711805,4.375,1444386560,0.266766,2.569135,0.081563,-3.830684,0,0,0,0,0,0,0.345833,0.345833,0,0,1.844444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0.000641,-0.005218,0.004256,0.000963,-0.000963,4.5,0.161247,3.867361,3.867361,3.867361,3.867361,3.867361,3.867361,3.867361,7.929861,7.929861,7.929861,5.534028,9.783334,11.539584,13.177083,51.02361,56.812496,56.812496,56.812496,56.812496,352.9368,352.9368,317.9257,347.80417,83.26805,83.26805,0,-8.106944,4.35,2294401790,0.264169,2.55521,0.081857,-3.87262,0,0,0,0,0,0,0.345833,0.345833,0,3.867361,3.867361,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0.002258,-0.003238,0.000654,0.002903,-0.001282,5.6,0.159456,5.740972,5.740972,5.740972,5.740972,5.740972,5.740972,5.740972,9.951389,9.951389,9.951389,12.169444,15.485416,21.952778,23.709028,25.346527,63.193054,63.193054,63.193054,63.193054,327.72916,327.72916,317.9257,347.80417,83.26805,83.26805,0,-6.746527,4.625,2675518720,0.265786,2.565787,0.075962,-3.853581,0,0,0,0,0,0,0.345833,0.345833,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
-0.003222,0.002903,-0.004214,0.003574,-0.001938,5.6,0.162678,6.400695,6.400695,6.400695,6.400695,6.400695,6.400695,6.400695,9.1125,9.951389,9.951389,12.169444,15.485416,21.952778,23.709028,25.346527,63.193054,63.193054,63.193054,63.193054,327.72916,327.72916,317.9257,347.80417,83.26805,83.26805,0,-7.820139,4.65,3304410620,0.26289,2.548881,0.076378,-3.895613,0,0,0,0,0,0,0,6.400695,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
