@relation X11.7_cut7
@attribute x1_bM numeric
@attribute x2_bM numeric
@attribute x3_bM numeric
@attribute x4_bM numeric
@attribute x5_bM numeric
@attribute x6_indep_bM numeric
@attribute x7_bM numeric
@attribute T3.5_indep_bA numeric
@attribute T3.6_indep_bA numeric
@attribute T3.7_indep_bA numeric
@attribute T3.8_indep_bA numeric
@attribute T3.9_indep_bA numeric
@attribute T4_indep_bA numeric
@attribute Mmean_indep_bA numeric
@attribute dE12_indep_bA numeric
@attribute bA numeric
@attribute a_bA numeric
@attribute eta_bA numeric
@attribute deltaM_bA numeric
@attribute mu3.5_indep_bA numeric
@attribute mu3.6_indep_bA numeric
@attribute mu3.7_indep_bA numeric
@attribute mu3.8_indep_bA numeric
@attribute mu3.9_indep_bA numeric
@attribute mu4_indep_bA numeric
@attribute c3.5_indep_bA numeric
@attribute c3.6_indep_bA numeric
@attribute c3.7_indep_bA numeric
@attribute c3.8_indep_bA numeric
@attribute c3.9_indep_bA numeric
@attribute c4_indep_bA numeric
@attribute class {'[0,7)','[7,Inf)'}
@data
0,0,0,0,0,3.24,0,-21.86389,-21.86389,-21.86389,-21.86389,-21.86389,-21.86389,2.905,27192954,1.000475,3.251433,0.004870388,-0.009889126,0,0,0,0,0,0,0,0,0,0,0,0,'[0,7)'
0,0,0,0,0,3.24,0,-22.234028,-22.234028,-22.234028,-22.234028,-22.234028,-22.234028,2.9125,26626420,1.0471824,3.3949718,0.0046064486,-0.002006054,0,0,0,0,0,0,0,0,0,0,0,0,'[0,7)'
0,0,0,0,0,3.24,0,-19.342361,-19.342361,-19.342361,-19.342361,-19.342361,-19.342361,2.8449998,30607046,0.9029712,2.9140058,0.0012755393,0.0128695965,0,0,0,0,0,0,0,0,0,0,0,0,'[0,7)'
0,0,0,0,0,2.88,0,-7.570833,-7.570833,-7.570833,-7.570833,-7.570833,-7.570833,2.8475,71158504,0.90267575,2.9154222,0.0011667908,0.010244131,0,0,0,0,0,0,0,0,0,0,0,0,'[0,7)'
-0.03911829,0,0,0,0,2.88,0,-2.692361,-2.692361,-2.692361,-2.692361,-2.692361,-2.692361,2.6625,208764832,1.6166451,4.6493707,0.001537682,0.004062414,0,0,0,0,0,0,0,0,0,0,0,0,'[0,7)'
0.020501971,0,0,0,0,0,0,-13.15139,-13.15139,-13.15139,-13.15139,-13.15139,-13.15139,2.8225,41375896,0.73130745,2.4091682,0.00033778476,0.005669594,0,0,0,0,0,0,0,0,0,0,0,0,'[0,7)'
0.0449816,0,0,0,0,2.51,0,-18.264584,-18.264584,-18.264584,-18.264584,-18.264584,-18.264584,2.7975001,30223198,0.67704904,2.2390976,0.002389935,-0.007142544,0,0,0,0,0,0,0,0,0,0,0,0,'[0,7)'
-0.017532825,0,0,0,0,0,0,-69.50764,-69.50764,-69.50764,-69.50764,-69.50764,-69.50764,2.7450001,7587020.5,0.6579791,2.1512055,0.006270033,0.03058672,0,0,0,0,0,0,0,0,0,0,0,0,'[0,7)'
0.06247115,-0.03911829,0,0,0,2.74,0,-72.677086,-72.677086,-72.677086,-72.677086,-72.677086,-72.677086,2.8049998,7444879,0.7378936,2.4148443,0.0038231898,0.02738142,0,0,0,0,0,0,0,0,0,0,0,0,'[0,7)'
0.0870496,0.020501971,0,0,0,2.74,0,-62.377083,-62.377083,-62.377083,-62.377083,-62.377083,-62.377083,2.635,5950182,2.5580199,7.085435,0.0068778223,-0.029890537,0,0,0,0,0,0,0,0,0,0,0,0,'[0,7)'
0.033323765,0.0449816,0,0,0,2.62,0,-62.443752,-62.443752,-62.443752,-62.443752,-62.443752,-62.443752,2.6499999,7615770,3.5723207,9.811703,0.0009181723,-0.006590605,0,0,0,0,0,0,0,0,0,0,0,0,'[0,7)'
0.073853254,-0.017532825,0,0,0,3.09,0,-9.7201395,-9.7201395,-9.7201395,-9.7201395,-9.7201395,-9.7201395,2.7549999,54989044,1.0934261,3.357442,0.0024462321,0.019429445,0,0,0,0,0,0,0,0,0,0,0,0,'[0,7)'
0.058609247,0.06247115,-0.03911829,0,0,3.09,0,-5.773611,-5.773611,-5.773611,-5.773611,-5.773611,-5.773611,2.8174999,90798544,0.9365406,2.9837558,0.0084398575,-0.0959332,0,0,0,0,0,0,0,0,0,0,0,0,'[0,7)'
-0.050521016,0.0870496,0.020501971,0,0,0,0,-43.04375,-43.04375,-43.04375,-43.04375,-43.04375,-43.04375,2.83,13098362,0.9909263,3.1493745,0.0071528163,-0.08821273,0,0,0,0,0,0,0,0,0,0,0,0,'[0,7)'
-0.045074105,0.033323765,0.0449816,0,0,2.87,0,-44.10764,-44.10764,-44.10764,-44.10764,-44.10764,-44.10764,2.905,14810529,1.3543923,4.2795625,0.008302142,-0.069765806,0,0,0,0,0,0,0,0,0,0,0,0,'[0,7)'
-0.10031068,0.073853254,-0.017532825,0,0,0,0,-66.0625,-66.0625,-66.0625,-66.0625,-66.0625,-66.0625,2.8975,10799106,1.3974805,4.394253,0.011220294,-0.084410906,0,0,0,0,0,0,0,0,0,0,0,0,'[0,7)'
-0.119264364,0.058609247,0.06247115,-0.03911829,0,0,0,-81.847916,-81.847916,-81.847916,-81.847916,-81.847916,-81.847916,2.9675002,8220960.5,0.9985712,3.308313,0.0023316601,-0.043046474,0,0,0,0,0,0,0,0,0,0,0,0,'[0,7)'
-0.058948874,-0.050521016,0.0870496,0.020501971,0,0,0,-54.720837,-54.720837,-54.720837,-54.720837,-54.720837,-54.720837,2.9975,12321817,1.2143848,3.9851713,0.00058644114,-0.011637926,0,0,0,0,0,0,0,0,0,0,0,0,'[0,7)'
-0.03877175,-0.045074105,0.033323765,0.0449816,0,0,0,-59.21597,-59.21597,-59.21597,-59.21597,-59.21597,-59.21597,2.95,11290240,0.96612626,3.195125,0.0018950052,-0.03715062,0,0,0,0,0,0,0,0,0,0,0,0,'[0,7)'
0.0018601418,-0.10031068,0.073853254,-0.017532825,0,0,0,-50.790276,-50.790276,-50.790276,-50.790276,-50.790276,-50.790276,2.895,12300326,0.97610795,3.1708856,0.0043616365,0.021501064,0,0,0,0,0,0,0,0,0,0,0,0,'[0,7)'
-0.029353142,-0.119264364,0.058609247,0.06247115,-0.03911829,2.87,7.4874326e-05,-41.894444,-41.894444,-41.894444,-41.894444,-41.894444,-41.894444,2.795,13277357,2.7794385,8.113584,0.014371465,-0.049144983,0,0,0,0,0,0,0,0,0,0,0,0,'[0,7)'
-0.10006499,-0.058948874,-0.050521016,0.0870496,0.020501971,3.06,9.306681e-05,-31.215277,-31.215277,-31.215277,-31.215277,-31.215277,-31.215277,2.8624997,18544772,1.6240349,4.9938526,0.0040936596,-0.014966488,0,0,0,0,0,0,0,0,0,0,0,0,'[0,7)'
-0.075782895,-0.03877175,-0.045074105,0.033323765,0.0449816,3.06,9.686959e-05,-20.945139,-20.945139,-20.945139,-20.945139,-20.945139,-20.945139,2.92,26966512,2.6239412,8.006961,0.0025507598,0.008498192,0,0,0,0,0,0,0,0,0,0,0,0,'[0,7)'
-0.06055057,0.0018601418,-0.10031068,0.073853254,-0.017532825,3.06,8.284809e-05,-7.961806,-7.961806,-7.961806,-7.961806,-7.961806,-7.961806,2.8525,65094436,1.1418979,3.6023169,0.013191998,-0.094675064,0,0,0,0,0,0,0,0,0,0,0,0,'[0,7)'
-0.07181752,-0.029353142,-0.119264364,0.058609247,0.06247115,3.06,0.00012296614,-2.3645833,-2.3645833,-2.3645833,-2.3645833,-2.3645833,-2.3645833,2.7625,255836176,0.9449934,2.9555974,0.0053341296,-0.06763816,0,0,0,0,0,0,0,0,0,0,0,0,'[0,7)'
-0.08271611,-0.10006499,-0.058948874,-0.050521016,0.0870496,0,0.0001647947,-22.365973,-22.365973,-22.365973,-22.365973,-22.365973,-22.365973,2.7975,27047602,0.80164164,2.587645,0.0019556754,-0.027932405,0,0,0,0,0,0,0,0,0,0,0,0,'[0,7)'
-0.093539834,-0.075782895,-0.03877175,-0.045074105,0.033323765,0,0.00018484473,-40.65139,-40.65139,-40.65139,-40.65139,-40.65139,-40.65139,2.835,17075952,0.70718795,2.3499305,0.00820126,-0.12292218,0,0,0,0,0,0,0,0,0,0,0,0,'[0,7)'
-0.10683489,-0.06055057,0.0018601418,-0.10031068,0.073853254,0,0.00017329535,-52.82708,-52.82708,-52.82708,-52.82708,-52.82708,-52.82708,3,13574440,0.61252236,2.1826198,0.026068682,-0.33333087,0,0,0,0,0,0,0,0,0,0,0,0,'[0,7)'
-0.0800401,-0.07181752,-0.029353142,-0.119264364,0.058609247,2.74,0.00021374994,-53.793056,-53.793056,-53.793056,-53.793056,-53.793056,-53.793056,3.0575,14697366,0.97474146,3.3253248,0.020381346,-0.18149424,0,0,0,0,0,0,0,0,0,0,0,0,'[0,7)'
-0.045869112,-0.08271611,-0.10006499,-0.058948874,-0.050521016,2.97,0.00022623033,-40.40764,-40.40764,-40.40764,-40.40764,-40.40764,-40.40764,3,17672818,1.2222977,4.0119457,0.005914083,-0.052298307,0,0,0,0,0,0,0,0,0,0,0,0,'[0,7)'
-0.02652204,-0.093539834,-0.075782895,-0.03877175,-0.045074105,2.92,0.00022201028,-28.254862,-28.254862,-28.254862,-28.254862,-28.254862,-28.254862,2.9650002,22919910,1.2646972,4.09488,0.0026423365,-0.0078344345,0,0,0,0,0,0,0,0,0,0,0,0,'[0,7)'
0.0058170557,-0.10683489,-0.06055057,0.0018601418,-0.10031068,0,0.00016646997,-28.119444,-28.119444,-28.119444,-28.119444,-28.119444,-28.119444,2.8425,18819388,2.312996,6.9509783,0.0058981995,-0.035183907,0,0,0,0,0,0,0,0,0,0,0,0,'[0,7)'
0.073037386,-0.0800401,-0.07181752,-0.029353142,-0.119264364,2.75,0.00012906057,-30.202084,-30.202084,-30.202084,-30.202084,-30.202084,-30.202084,2.845,17181762,2.0815918,6.267182,0.008519256,-0.040764093,0,0,0,0,0,0,0,0,0,0,0,0,'[0,7)'
0.060685992,-0.045869112,-0.08271611,-0.10006499,-0.058948874,2.75,0.00014876225,-23.55625,-23.55625,-23.55625,-23.55625,-23.55625,-23.55625,2.77,25894086,2.3827093,6.9451575,0.004193041,0.0051846504,0,0,0,0,0,0,0,0,0,0,0,0,'[0,7)'
