@relation X5.18_cut6
@attribute x1_bM numeric
@attribute x2_bM numeric
@attribute x3_bM numeric
@attribute x4_bM numeric
@attribute x5_bM numeric
@attribute x6_indep_bM numeric
@attribute x7_bM numeric
@attribute T3.5_indep_bA numeric
@attribute T3.6_indep_bA numeric
@attribute T3.7_indep_bA numeric
@attribute T3.8_indep_bA numeric
@attribute T3.9_indep_bA numeric
@attribute T4_indep_bA numeric
@attribute Mmean_indep_bA numeric
@attribute dE12_indep_bA numeric
@attribute bA numeric
@attribute a_bA numeric
@attribute eta_bA numeric
@attribute deltaM_bA numeric
@attribute mu3.5_indep_bA numeric
@attribute mu3.6_indep_bA numeric
@attribute mu3.7_indep_bA numeric
@attribute mu3.8_indep_bA numeric
@attribute mu3.9_indep_bA numeric
@attribute mu4_indep_bA numeric
@attribute c3.5_indep_bA numeric
@attribute c3.6_indep_bA numeric
@attribute c3.7_indep_bA numeric
@attribute c3.8_indep_bA numeric
@attribute c3.9_indep_bA numeric
@attribute c4_indep_bA numeric
@attribute class {'[0,6)','[6,Inf)'}
@data
0,0,0,0,0,0,0,711.4611,788.5861,788.5861,711.4611,0,-175.17848,2.5749998,1904530.4,3.009856,8.126667,1.7851866e-09,-1.859665e-05,0,0,0,0,0,0,0,0,0,0,0,0,'[0,6)'
0,0,0,0,0,0,0,711.4611,788.5861,788.5861,711.4611,0,-243.21944,2.5749998,1455302.8,3.0098648,8.126689,1.7090921e-09,-1.7881393e-05,0,0,0,0,0,0,0,0,0,0,0,0,'[0,6)'
0,0,0,0,0,0,0,711.4611,788.5861,788.5861,711.4611,0,-262.9889,2.6175,1444916,2.6733,7.3424153,0.011771622,-0.04657364,0,0,0,0,0,0,0,0,0,0,0,0,'[0,6)'
0,0,0,0,0,2.71,0,711.4611,788.5861,788.5861,711.4611,0,-263.7875,2.62,1527780,2.6270647,7.2279625,0.009713605,-0.041345358,0,0,0,0,0,0,0,0,0,0,0,0,'[0,6)'
0.025917768,0,0,0,0,2.84,0,711.4611,788.5861,788.5861,711.4611,0,-252.4118,2.68,1698889.6,1.7646531,5.074323,0.0069267675,-0.035535812,0,0,0,0,0,0,0,0,0,0,0,0,'[0,6)'
0.020616353,0,0,0,0,2.84,0,711.4611,788.5861,788.5861,711.4611,0,-57.17292,2.75,8300624.5,3.4246044,9.762714,0.001705477,-0.010756969,0,0,0,0,0,0,0,0,0,0,0,0,'[0,6)'
-0.005101204,0,0,0,0,2.84,0,711.4611,788.5861,788.5861,711.4611,0,-1.0902778,2.79,444690912,3.8576376,11.107861,0.015574042,-0.039446354,0,0,0,0,0,0,0,0,0,0,0,0,'[0,6)'
-0.020659685,0,0,0,0,2.84,0,711.4611,788.5861,788.5861,711.4611,0,-0.4027778,2.7975,1203732350,5.124742,14.681518,0.011473995,-0.02483058,0,0,0,0,0,0,0,0,0,0,0,0,'[0,6)'
0.0019933581,0.025917768,0,0,0,0,0,711.4611,788.5861,788.5861,711.4611,0,-11.884722,2.7649999,38858652,5.00053,14.171516,0.00057847326,-0.004003048,0,0,0,0,0,0,0,0,0,0,0,0,'[0,6)'
-0.023593485,0.020616353,0,0,0,0,0,711.4611,788.5861,788.5861,711.4611,0,-74.15417,2.745,14922012,4.312466,12.182771,0.0030273844,0.0049874783,0,0,0,0,0,0,0,0,0,0,0,0,'[0,6)'
