@relation X2.19_cut6
@attribute x1_bM numeric
@attribute x2_bM numeric
@attribute x3_bM numeric
@attribute x4_bM numeric
@attribute x5_bM numeric
@attribute x6_indep_bM numeric
@attribute x7_bM numeric
@attribute T3.5_indep_bA numeric
@attribute T3.6_indep_bA numeric
@attribute T3.7_indep_bA numeric
@attribute T3.8_indep_bA numeric
@attribute T3.9_indep_bA numeric
@attribute T4_indep_bA numeric
@attribute Mmean_indep_bA numeric
@attribute dE12_indep_bA numeric
@attribute bA numeric
@attribute a_bA numeric
@attribute eta_bA numeric
@attribute deltaM_bA numeric
@attribute mu3.5_indep_bA numeric
@attribute mu3.6_indep_bA numeric
@attribute mu3.7_indep_bA numeric
@attribute mu3.8_indep_bA numeric
@attribute mu3.9_indep_bA numeric
@attribute mu4_indep_bA numeric
@attribute c3.5_indep_bA numeric
@attribute c3.6_indep_bA numeric
@attribute c3.7_indep_bA numeric
@attribute c3.8_indep_bA numeric
@attribute c3.9_indep_bA numeric
@attribute c4_indep_bA numeric
@attribute class {'[0,6)','[6,Inf)'}
@data
0,0,0,0,0,0,0,207.96527,103.57292,103.57292,103.57292,0,0,2.95,4511825,0.61781996,2.1676219,0.00073117035,-0.008500814,0,0,0,0,0,0,0,0,0,0,0,0,'[0,6)'
0,0,0,0,0,0,0,207.96527,103.57292,103.57292,103.57292,0,0,2.725,2610821.2,1.1696608,3.5323784,0.00089838303,-0.020002365,0,0,0,0,0,0,0,0,0,0,0,0,'[0,6)'
0,0,0,0,0,0,0,207.96527,103.57292,103.57292,103.57292,0,0,2.6,2807123.8,2.0068226,5.594026,0.0025171828,0.012495995,0,0,0,0,0,0,0,0,0,0,0,0,'[0,6)'
0,0,0,0,0,3.2,0,207.96527,103.57292,103.57292,103.57292,0,0,2.7,3545719.2,0.7968488,2.527779,0.011105306,0.027780771,0,0,0,0,0,0,0,0,0,0,0,0,'[0,6)'
-0.03714907,0,0,0,0,3.2,0,207.96527,103.57292,103.57292,103.57292,0,0,2.8000002,19750424,0.81981164,2.6405256,0.00095794164,-0.020892859,0,0,0,0,0,0,0,0,0,0,0,0,'[0,6)'
-0.056723297,0,0,0,0,3.3,0,207.96527,103.57292,103.57292,103.57292,0,0,2.9750001,75400456,0.65556824,2.2953684,0.012653635,-0.20134187,0,0,0,0,0,0,0,0,0,0,0,0,'[0,6)'
-0.047359765,0,0,0,0,3.3,0,207.96527,103.57292,103.57292,103.57292,0,0,3.125,5685356500,1.4264212,4.802619,0.008817714,-0.06690121,0,0,0,0,0,0,0,0,0,0,0,0,'[0,6)'
-0.046555102,0,0,0,0,3.3,0,207.96527,103.57292,103.57292,103.57292,0,0,3.0749998,7894542800,1.5269737,5.0404973,0.00014951978,-0.0009717941,0,0,0,0,0,0,0,0,0,0,0,0,'[0,6)'
-0.01801747,-0.03714907,0,0,0,3.3,0,207.96527,103.57292,103.57292,103.57292,0,0,3.0749998,1834008190,1.5269792,5.040514,0.00014951742,-0.0009710789,0,0,0,0,0,0,0,0,0,0,0,0,'[0,6)'
-0.009032607,-0.056723297,0,0,0,3.3,0,207.96527,103.57292,103.57292,103.57292,0,0,2.875,1397147520,0.8492313,2.786593,0.018282065,-0.18131232,0,0,0,0,0,0,0,0,0,0,0,0,'[0,6)'
